layer,target,cv_acc,chance
0,intent,0.7450574712643678,0.5
0,outcome,0.8894252873563218,0.5167785234899329
1,intent,0.7280459770114942,0.5
1,outcome,0.875977011494253,0.5167785234899329
2,intent,0.7480459770114942,0.5
2,outcome,0.9058620689655171,0.5167785234899329
3,intent,0.7886206896551725,0.5
3,outcome,0.9159770114942528,0.5167785234899329
4,intent,0.7716091954022988,0.5
4,outcome,0.9159770114942528,0.5167785234899329
5,intent,0.7550574712643678,0.5
5,outcome,0.9260919540229885,0.5167785234899329
6,intent,0.7685057471264367,0.5
6,outcome,0.9226436781609195,0.5167785234899329
7,intent,0.7849425287356322,0.5
7,outcome,0.9327586206896552,0.5167785234899329
8,intent,0.7851724137931033,0.5
8,outcome,0.9495402298850575,0.5167785234899329
9,intent,0.8152873563218392,0.5
9,outcome,0.9596551724137932,0.5167785234899329
10,intent,0.8386206896551723,0.5
10,outcome,0.9697701149425286,0.5167785234899329
11,intent,0.8485057471264368,0.5
11,outcome,0.9831034482758619,0.5167785234899329
12,intent,0.8722988505747127,0.5
12,outcome,0.9729885057471265,0.5167785234899329
13,intent,0.9028735632183909,0.5
13,outcome,0.9663218390804598,0.5167785234899329
14,intent,0.9095402298850577,0.5
14,outcome,0.9629885057471265,0.5167785234899329
15,intent,0.9126436781609197,0.5
15,outcome,0.9664367816091953,0.5167785234899329
16,intent,0.9091954022988507,0.5
16,outcome,0.9560919540229886,0.5167785234899329
17,intent,0.9195402298850576,0.5
17,outcome,0.9698850574712644,0.5167785234899329
18,intent,0.878735632183908,0.5
18,outcome,0.9495402298850575,0.5167785234899329
19,intent,0.8488505747126437,0.5
19,outcome,0.9597701149425287,0.5167785234899329
20,intent,0.8554022988505746,0.5
20,outcome,0.9563218390804599,0.5167785234899329
21,intent,0.8585057471264367,0.5
21,outcome,0.9360919540229885,0.5167785234899329
22,intent,0.855287356321839,0.5
22,outcome,0.9428735632183909,0.5167785234899329
23,intent,0.8217241379310345,0.5
23,outcome,0.9328735632183909,0.5167785234899329
24,intent,0.8455172413793104,0.5
24,outcome,0.9326436781609196,0.5167785234899329
25,intent,0.8119540229885057,0.5
25,outcome,0.9125287356321838,0.5167785234899329
26,intent,0.8254022988505747,0.5
26,outcome,0.8958620689655172,0.5167785234899329
27,intent,0.8255172413793105,0.5
27,outcome,0.899080459770115,0.5167785234899329
28,intent,0.832183908045977,0.5
28,outcome,0.8924137931034484,0.5167785234899329
29,intent,0.8188505747126437,0.5
29,outcome,0.8857471264367816,0.5167785234899329
30,intent,0.8120689655172413,0.5
30,outcome,0.8758620689655172,0.5167785234899329
31,intent,0.80183908045977,0.5
31,outcome,0.8789655172413793,0.5167785234899329
32,intent,0.7781609195402298,0.5
32,outcome,0.8790804597701148,0.5167785234899329
