layer,target,cv_acc,chance
0,intent,0.7312643678160919,0.5
0,outcome,0.8224137931034482,0.5167785234899329
1,intent,0.7349425287356322,0.5
1,outcome,0.8657471264367815,0.5167785234899329
2,intent,0.7211494252873563,0.5
2,outcome,0.8525287356321838,0.5167785234899329
3,intent,0.7379310344827587,0.5
3,outcome,0.8591954022988506,0.5167785234899329
4,intent,0.7449425287356322,0.5
4,outcome,0.9059770114942529,0.5167785234899329
5,intent,0.7348275862068966,0.5
5,outcome,0.8791954022988506,0.5167785234899329
6,intent,0.714367816091954,0.5
6,outcome,0.8591954022988505,0.5167785234899329
7,intent,0.7273563218390804,0.5
7,outcome,0.885632183908046,0.5167785234899329
8,intent,0.7380459770114942,0.5
8,outcome,0.8993103448275862,0.5167785234899329
9,intent,0.7072413793103449,0.5
9,outcome,0.9194252873563219,0.5167785234899329
10,intent,0.754367816091954,0.5
10,outcome,0.9228735632183909,0.5167785234899329
11,intent,0.7714942528735632,0.5
11,outcome,0.9495402298850575,0.5167785234899329
12,intent,0.7950574712643677,0.5
12,outcome,0.9664367816091953,0.5167785234899329
13,intent,0.7514942528735632,0.5
13,outcome,0.9291954022988506,0.5167785234899329
14,intent,0.7680459770114941,0.5
14,outcome,0.9326436781609196,0.5167785234899329
15,intent,0.7580459770114942,0.5
15,outcome,0.9158620689655173,0.5167785234899329
16,intent,0.740919540229885,0.5
16,outcome,0.9394252873563218,0.5167785234899329
17,intent,0.7140229885057472,0.5
17,outcome,0.9326436781609196,0.5167785234899329
18,intent,0.6905747126436781,0.5
18,outcome,0.9124137931034483,0.5167785234899329
19,intent,0.6971264367816092,0.5
19,outcome,0.922528735632184,0.5167785234899329
20,intent,0.7040229885057472,0.5
20,outcome,0.9093103448275862,0.5167785234899329
21,intent,0.7144827586206897,0.5
21,outcome,0.8757471264367815,0.5167785234899329
22,intent,0.7075862068965518,0.5
22,outcome,0.832183908045977,0.5167785234899329
23,intent,0.6942528735632184,0.5
23,outcome,0.8355172413793103,0.5167785234899329
24,intent,0.6978160919540229,0.5
24,outcome,0.8355172413793104,0.5167785234899329
