template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.3492,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.4296,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.3695,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.3592,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.7198,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.5265,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.6144,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.406,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.5028,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.411,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.4511,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.3174,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.8007,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.2057,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.9048,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.0498,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.8608,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.4232,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.8316,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.0975,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.338,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.859,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.3663,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.8068,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.9676,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.5454,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.9572,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.4957,1
acceptable7,YS2008-MALARIA POND-accidental,YS2008,accidental,innocent,harm,0.8028,1
acceptable7,YS2008-MALARIA POND-attempted,YS2008,attempted,guilty,no_harm,0.6185,1
acceptable7,YS2008-MALARIA POND-intentional,YS2008,intentional,guilty,harm,0.8043,1
acceptable7,YS2008-MALARIA POND-neutral,YS2008,neutral,innocent,no_harm,0.4599,1
