layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.525,0.5,False
1,outcome,0.5422,0.5,False
2,intent,0.5756,0.5,False
2,outcome,0.5539,0.5,False
3,intent,0.6139,0.5,False
3,outcome,0.5356,0.5,False
4,intent,0.6017,0.5,False
4,outcome,0.6394,0.5,False
5,intent,0.6017,0.5,False
5,outcome,0.6444,0.5,False
6,intent,0.6283,0.5,False
6,outcome,0.5744,0.5,False
7,intent,0.7311,0.5,False
7,outcome,0.5967,0.5,False
8,intent,0.6883,0.5,False
8,outcome,0.62,0.5,False
9,intent,0.6756,0.5,False
9,outcome,0.6256,0.5,False
10,intent,0.7339,0.5,False
10,outcome,0.6583,0.5,False
11,intent,0.7972,0.5,False
11,outcome,0.6711,0.5,False
12,intent,0.8211,0.5,False
12,outcome,0.6828,0.5,False
13,intent,0.9056,0.5,False
13,outcome,0.7311,0.5,False
14,intent,0.9128,0.5,False
14,outcome,0.7989,0.5,False
15,intent,0.9267,0.5,False
15,outcome,0.8089,0.5,False
16,intent,0.9328,0.5,False
16,outcome,0.7828,0.5,False
17,intent,0.9272,0.5,False
17,outcome,0.7928,0.5,False
18,intent,0.9161,0.5,False
18,outcome,0.7661,0.5,False
19,intent,0.8794,0.5,False
19,outcome,0.7678,0.5,False
20,intent,0.8683,0.5,False
20,outcome,0.7678,0.5,False
21,intent,0.8578,0.5,False
21,outcome,0.7628,0.5,False
22,intent,0.8467,0.5,False
22,outcome,0.745,0.5,False
23,intent,0.8511,0.5,False
23,outcome,0.7828,0.5,False
24,intent,0.8689,0.5,False
24,outcome,0.7756,0.5,False
25,intent,0.8578,0.5,False
25,outcome,0.7439,0.5,False
26,intent,0.8456,0.5,False
26,outcome,0.7283,0.5,False
27,intent,0.8628,0.5,False
27,outcome,0.7661,0.5,False
28,intent,0.8511,0.5,False
28,outcome,0.7494,0.5,False
29,intent,0.8411,0.5,False
29,outcome,0.7544,0.5,False
30,intent,0.8356,0.5,False
30,outcome,0.7706,0.5,False
31,intent,0.8189,0.5,False
31,outcome,0.7756,0.5,False
32,intent,0.8128,0.5,False
32,outcome,0.7917,0.5,False
