model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.9112,0.4556
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.3731,0.6865
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.0722,0.5361
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,2.3401,0.67
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.8641,0.4321
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,2.0372,0.5186
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,1.8178,0.4089
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,2.0271,0.5135
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.8122,0.4061
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,2.2188,0.6094
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,1.9804,0.4902
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,2.1767,0.5884
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,1.8053,0.4027
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,2.0662,0.5331
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,1.9521,0.476
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,2.0662,0.5331
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,2.0,0.5
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,2.1359,0.5679
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,2.1255,0.5627
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,2.0739,0.5369
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,2.0142,0.5071
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,2.2663,0.6332
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,2.1001,0.55
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,2.1774,0.5887
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,1.8,0.4
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,2.1562,0.5781
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,2.0394,0.5197
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,2.2334,0.6167
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,1.7127,0.3564
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,2.2413,0.6206
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-attempted,YS2008,attempted,guilty,no_harm,2.0191,0.5096
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-intentional,YS2008,intentional,guilty,harm,2.0928,0.5464
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,1.9135,0.4567
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,2.2647,0.6323
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,2.0432,0.5216
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,2.0865,0.5433
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-VITAMIN-neutral,YS2008,neutral,innocent,no_harm,1.8997,0.4498
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-VITAMIN-accidental,YS2008,accidental,innocent,harm,2.1096,0.5548
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-VITAMIN-attempted,YS2008,attempted,guilty,no_harm,1.9178,0.4589
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-VITAMIN-intentional,YS2008,intentional,guilty,harm,2.0556,0.5278
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-SESAME-neutral,YS2008,neutral,innocent,no_harm,1.8565,0.4283
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-SESAME-accidental,YS2008,accidental,innocent,harm,2.6188,0.8094
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-SESAME-attempted,YS2008,attempted,guilty,no_harm,2.1657,0.5829
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-SESAME-intentional,YS2008,intentional,guilty,harm,2.3725,0.6862
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,1.8879,0.444
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,2.2913,0.6457
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,2.1193,0.5596
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,2.466,0.733
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-IRON-neutral,YS2008,neutral,innocent,no_harm,2.0294,0.5147
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-IRON-accidental,YS2008,accidental,innocent,harm,2.3446,0.6723
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-IRON-attempted,YS2008,attempted,guilty,no_harm,2.0703,0.5351
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-IRON-intentional,YS2008,intentional,guilty,harm,2.4976,0.7488
unsloth/Meta-Llama-3.1-8B-Instruct,human_verbatim,0,YS2008-MEATLOAF-neutral,YS2008,neutral,innocent,no_harm,1.7617,0.3808
