story_id,belief_start,belief_end,action_start,action_end,outcome_start,outcome_end,method,n_sentences
YS2008-COFFEE-neutral,349,476,477,525,526,567,belief_verb,7
YS2008-COFFEE-accidental,329,456,457,505,506,544,belief_verb,7
YS2008-COFFEE-attempted,349,469,470,518,519,560,belief_verb,7
YS2008-COFFEE-intentional,329,449,450,498,499,537,belief_verb,7
YS2008-LAB-neutral,396,532,533,581,582,636,belief_verb,8
YS2008-LAB-accidental,378,514,515,563,564,614,belief_verb,8
YS2008-LAB-attempted,396,537,538,586,587,641,belief_verb,8
YS2008-LAB-intentional,378,519,520,568,569,619,belief_verb,8
YS2008-JELLYFISH-neutral,240,371,372,414,415,468,belief_verb,6
YS2008-JELLYFISH-accidental,231,362,363,405,406,459,belief_verb,6
YS2008-JELLYFISH-attempted,240,367,368,410,411,464,belief_verb,6
YS2008-JELLYFISH-intentional,231,358,359,401,402,455,belief_verb,6
YS2008-BRIDGE-neutral,198,333,334,402,403,448,belief_verb,6
YS2008-BRIDGE-accidental,203,338,339,407,408,464,belief_verb,6
YS2008-BRIDGE-attempted,198,333,334,402,403,448,belief_verb,6
YS2008-BRIDGE-intentional,203,338,339,407,408,464,belief_verb,6
YS2008-POOL-neutral,178,309,310,362,363,394,belief_verb,5
YS2008-POOL-accidental,199,330,331,383,384,423,belief_verb,5
YS2008-POOL-attempted,178,313,314,366,367,398,belief_verb,5
YS2008-POOL-intentional,199,334,335,387,388,427,belief_verb,5
YS2008-MUSHROOMS-neutral,299,455,456,504,505,558,belief_verb,8
YS2008-MUSHROOMS-accidental,302,458,459,507,508,574,belief_verb,8
YS2008-MUSHROOMS-attempted,299,454,455,503,504,557,belief_verb,8
YS2008-MUSHROOMS-intentional,302,457,458,506,507,573,belief_verb,8
YS2008-LATEX-neutral,210,386,387,438,439,459,belief_verb,6
YS2008-LATEX-accidental,216,392,393,444,445,473,belief_verb,6
YS2008-LATEX-attempted,210,386,387,438,439,459,belief_verb,6
YS2008-LATEX-intentional,216,392,393,444,445,473,belief_verb,6
YS2008-MOTORBOAT-neutral,196,291,292,339,340,360,belief_verb,6
YS2008-MOTORBOAT-accidental,179,274,275,322,323,342,belief_verb,6
YS2008-MOTORBOAT-attempted,196,341,342,389,390,410,belief_verb,6
YS2008-MOTORBOAT-intentional,179,324,325,372,373,392,belief_verb,6
YS2008-ASTHMA-neutral,277,416,417,462,463,505,belief_verb,7
YS2008-ASTHMA-accidental,288,427,428,473,474,504,belief_verb,7
YS2008-ASTHMA-attempted,277,427,428,473,474,516,belief_verb,7
YS2008-ASTHMA-intentional,288,438,439,484,485,515,belief_verb,7
YS2008-VITAMIN-neutral,334,463,464,504,505,527,belief_verb,7
YS2008-VITAMIN-accidental,333,462,463,503,504,535,belief_verb,7
YS2008-VITAMIN-attempted,334,464,465,505,506,528,belief_verb,7
YS2008-VITAMIN-intentional,333,463,464,504,505,536,belief_verb,7
YS2008-SESAME-neutral,278,401,402,432,433,474,belief_verb,6
YS2008-SESAME-accidental,276,399,400,430,431,467,belief_verb,6
YS2008-SESAME-attempted,278,417,418,448,449,490,belief_verb,6
YS2008-SESAME-intentional,276,415,416,446,447,483,belief_verb,6
YS2008-BIKE-neutral,236,399,400,438,439,498,belief_verb,7
YS2008-BIKE-accidental,248,411,412,450,451,540,belief_verb,7
YS2008-BIKE-attempted,236,400,401,439,440,499,belief_verb,7
YS2008-BIKE-intentional,248,412,413,451,452,541,belief_verb,7
YS2008-IRON-neutral,324,437,438,493,564,605,belief_verb,8
YS2008-IRON-accidental,322,435,436,491,551,605,belief_verb,8
YS2008-IRON-attempted,324,448,449,504,575,616,belief_verb,8
YS2008-IRON-intentional,322,446,447,502,562,616,belief_verb,8
YS2008-MEATLOAF-neutral,287,407,408,484,534,565,belief_verb,9
YS2008-MEATLOAF-accidental,282,402,403,479,480,563,belief_verb,8
YS2008-MEATLOAF-attempted,287,400,401,477,527,558,belief_verb,9
YS2008-MEATLOAF-intentional,282,395,396,472,473,556,belief_verb,8
YS2008-RIVER-neutral,410,465,466,521,522,573,belief_verb,10
YS2008-RIVER-accidental,426,481,482,537,538,604,belief_verb,10
YS2008-RIVER-attempted,416,477,478,533,534,585,belief_verb,10
YS2008-RIVER-intentional,432,493,494,549,550,616,belief_verb,10
YS2008-LOGAN AIRPORT-neutral,384,431,432,468,522,563,belief_verb,10
YS2008-LOGAN AIRPORT-accidental,379,426,427,463,529,557,belief_verb,10
YS2008-LOGAN AIRPORT-attempted,380,434,435,471,525,566,belief_verb,10
YS2008-LOGAN AIRPORT-intentional,375,429,430,466,532,560,belief_verb,10
YS2008-TRACKS-neutral,347,514,515,560,561,668,belief_verb,7
YS2008-TRACKS-accidental,353,520,521,566,567,681,belief_verb,7
YS2008-TRACKS-attempted,347,506,507,552,553,660,belief_verb,7
YS2008-TRACKS-intentional,353,512,513,558,559,673,belief_verb,7
YS2008-HARNESS-neutral,258,388,389,431,432,506,belief_verb,6
YS2008-HARNESS-accidental,265,395,396,438,439,521,belief_verb,6
YS2008-HARNESS-attempted,258,397,398,440,441,515,belief_verb,6
YS2008-HARNESS-intentional,265,404,405,447,448,530,belief_verb,6
YS2008-IGLOO-neutral,269,410,411,457,458,537,belief_verb,7
YS2008-IGLOO-accidental,275,416,417,463,464,548,belief_verb,6
YS2008-IGLOO-attempted,269,405,406,452,453,532,belief_verb,7
YS2008-IGLOO-intentional,275,411,412,458,459,543,belief_verb,6
YS2008-HAM-neutral,284,416,417,458,459,530,belief_verb,7
YS2008-HAM-accidental,276,408,409,450,451,524,belief_verb,6
YS2008-HAM-attempted,284,420,421,462,463,534,belief_verb,7
YS2008-HAM-intentional,276,412,413,454,455,528,belief_verb,6
YS2008-POPCORN-neutral,459,541,542,602,603,720,belief_verb,10
YS2008-POPCORN-accidental,438,520,521,581,582,696,belief_verb,11
YS2008-POPCORN-attempted,479,576,577,637,638,755,belief_verb,10
YS2008-POPCORN-intentional,458,555,556,616,617,731,belief_verb,11
YS2008-VET-neutral,330,460,461,517,518,573,belief_verb,8
YS2008-VET-accidental,327,457,458,514,515,586,belief_verb,8
YS2008-VET-attempted,330,484,485,541,542,597,belief_verb,8
YS2008-VET-intentional,327,481,482,538,539,610,belief_verb,8
YS2008-CHAIRLIFT-neutral,318,411,412,492,542,662,belief_verb,9
YS2008-CHAIRLIFT-accidental,317,410,411,491,541,658,belief_verb,9
YS2008-CHAIRLIFT-attempted,318,480,481,529,530,650,belief_verb,8
YS2008-CHAIRLIFT-intentional,317,479,480,528,529,646,belief_verb,8
YS2008-SAFETY TOWN-neutral,446,518,519,577,578,656,belief_verb,8
YS2008-SAFETY TOWN-accidental,455,527,528,586,587,657,belief_verb,8
YS2008-SAFETY TOWN-attempted,459,537,538,596,597,675,belief_verb,8
YS2008-SAFETY TOWN-intentional,468,546,547,605,606,676,belief_verb,8
YS2008-MALARIA POND-neutral,311,443,444,492,493,563,belief_verb,9
YS2008-MALARIA POND-accidental,293,425,426,474,475,540,belief_verb,8
YS2008-MALARIA POND-attempted,311,452,453,501,502,572,belief_verb,9
YS2008-MALARIA POND-intentional,293,434,435,483,484,549,belief_verb,8
YS2008-HUNT-neutral,462,516,517,561,562,621,belief_verb,10
YS2008-HUNT-accidental,457,511,512,556,557,619,belief_verb,9
YS2008-HUNT-attempted,448,516,517,561,562,621,belief_verb,10
YS2008-HUNT-intentional,443,511,512,556,557,619,belief_verb,9
YS2008-SPINACH-neutral,369,470,471,512,565,599,belief_verb,11
YS2008-SPINACH-accidental,391,492,493,534,535,629,belief_verb,9
YS2008-SPINACH-attempted,369,476,477,518,571,605,belief_verb,11
YS2008-SPINACH-intentional,391,498,499,540,541,635,belief_verb,9
YS2008-PEANUT ALLERGY-neutral,452,500,501,575,576,663,belief_verb,9
YS2008-PEANUT ALLERGY-accidental,460,508,509,583,584,677,belief_verb,9
YS2008-PEANUT ALLERGY-attempted,452,507,508,582,583,670,belief_verb,9
YS2008-PEANUT ALLERGY-intentional,460,515,516,590,591,684,belief_verb,9
YS2008-ALARM-neutral,389,495,496,537,538,620,belief_verb,8
YS2008-ALARM-accidental,375,481,482,523,524,614,belief_verb,8
