model,acceptable7,blame_w1,blame_w2,human_verbatim,para_blame10,para_blame4,para_wrong7,persona_adult7,punish7,punish_w1,punish_w2,wrong_w1,wrong_w2,sd,range,sign_flips_all_templates
unsloth_Meta-Llama-3_1-8B,-0.0017,0.0058,-0.0011,0.0033,0.0045,0.0008,0.0035,0.0059,0.0027,0.0027,0.0028,0.0035,-0.0007,0.0024,0.0076,True
Qwen_Qwen2_5-0_5B,-0.0152,0.0043,0.0086,-0.0028,-0.0005,-0.0046,0.0064,-0.0014,-0.0113,-0.0113,0.007,0.0064,0.0195,0.0093,0.0347,True
unsloth_gemma-2-9b,-0.0021,0.0017,0.0001,-0.0034,0.0001,0.0002,-0.0012,-0.0021,0.0001,0.0001,0.0033,-0.0012,0.002,0.0018,0.0067,True
mistralai_Mistral-7B-v0_3,-0.0137,-0.0042,-0.0062,-0.0068,NA,-0.0044,-0.0049,0.0011,0.0098,0.0098,-0.0035,-0.0049,-0.0035,0.0064,0.0235,True
allenai_OLMo-2-1124-7B,-0.005,-0.0025,-0.0077,-0.0049,-0.0135,0.0062,-0.0022,-0.0163,-0.0127,-0.0127,0.0022,-0.0022,0.0153,0.0085,0.0316,True
Qwen_Qwen2_5-1_5B,-0.0095,-0.0014,-0.0164,-0.0252,-0.0014,-0.0103,-0.0213,-0.0087,-0.0164,-0.0164,-0.0013,-0.0213,-0.0164,0.0077,0.0239,False
Qwen_Qwen2_5-3B,-0.0809,-0.0284,-0.062,-0.0299,-0.0014,-0.0499,-0.0838,-0.0276,-0.0249,-0.0249,-0.0514,-0.0838,-0.079,0.0266,0.0824,False
Qwen_Qwen2_5-0_5B-Instruct,-0.1676,-0.0285,-0.0238,-0.043,0.0003,-0.0898,-0.0241,-0.0656,-0.0865,-0.0865,-0.0119,-0.0241,-0.0021,0.0457,0.1679,True
Qwen_Qwen2_5-7B,-0.0498,-0.0362,-0.0728,-0.0772,-0.0042,-0.0626,-0.0739,-0.0354,-0.0227,-0.0227,-0.0575,-0.0739,-0.0753,0.0236,0.0731,False
Qwen_Qwen2_5-14B,-0.1101,-0.0931,-0.1818,-0.0093,-0.0277,-0.1047,-0.2911,-0.0588,-0.0882,-0.0882,-0.0512,-0.2911,-0.2387,0.0913,0.2819,False
Qwen_Qwen2_5-1_5B-Instruct,-0.102,-0.2123,-0.2545,0.0596,-0.1117,-0.1347,-0.2336,-0.1803,-0.1908,-0.1908,-0.1968,-0.2336,-0.1824,0.0788,0.3141,True
unsloth_Meta-Llama-3_1-8B-Instruct,-0.2274,-0.1779,-0.2287,-0.1144,-0.1588,-0.305,-0.2458,-0.1504,-0.1759,-0.1759,-0.2006,-0.2458,-0.2145,0.0481,0.1906,False
Qwen_Qwen2_5-7B-Instruct,-0.3293,-0.1544,-0.2746,-0.2875,-0.2458,-0.2705,-0.278,-0.2596,-0.0965,-0.0965,-0.1698,-0.278,-0.3558,0.0796,0.2593,False
Qwen_Qwen2_5-3B-Instruct,-0.2508,-0.2097,-0.4597,-0.3666,-0.1112,-0.3175,-0.328,-0.1339,-0.1017,-0.1017,-0.2267,-0.328,-0.2746,0.1087,0.358,False
Qwen_Qwen2_5-14B-Instruct,-0.4951,-0.3577,-0.3873,-0.1433,-0.288,-0.3488,-0.4129,-0.4068,-0.4216,-0.4216,-0.3737,-0.4129,-0.3386,0.0814,0.3519,False
allenai_Llama-3_1-Tulu-3-8B,-0.3786,-0.3096,-0.4141,-0.4298,-0.3032,-0.3039,-0.4851,-0.3298,-0.4629,-0.4629,-0.4205,-0.4851,-0.4252,0.066,0.1819,False
unsloth_gemma-2-9b-it,-0.3349,-0.4093,-0.3799,-0.3114,-0.2956,-0.4216,-0.434,-0.5089,-0.5303,-0.5303,-0.427,-0.434,-0.2861,0.0808,0.2441,False
mistralai_Mistral-7B-Instruct-v0_3,-0.4591,-0.5473,-0.4219,-0.4778,NA,-0.6099,-0.431,-0.3859,-0.4935,-0.4935,-0.5336,-0.431,-0.3977,0.0635,0.224,False
HuggingFaceH4_zephyr-7b-beta,-0.5305,-0.4288,-0.5839,-0.7364,NA,-0.3998,-0.6099,-0.6552,-0.4652,-0.4652,-0.6457,-0.6099,-0.4852,0.0998,0.3366,False
allenai_OLMo-2-1124-7B-Instruct,-0.2639,-0.8627,-0.7074,-0.2604,-0.7516,-0.4709,-0.7344,-0.6472,-0.7683,-0.7683,-0.8187,-0.7344,-0.6077,0.1889,0.6023,False
