story_id,condition,source,sampled_norm
YS2008-COFFEE-neutral,neutral,YS2008,0.5
YS2008-COFFEE-accidental,accidental,YS2008,0.5
YS2008-COFFEE-attempted,attempted,YS2008,0.5
YS2008-COFFEE-intentional,intentional,YS2008,0.5
YS2008-YS2008_02-neutral,neutral,YS2008,0.5
YS2008-YS2008_02-accidental,accidental,YS2008,0.5
YS2008-YS2008_02-attempted,attempted,YS2008,0.5
YS2008-YS2008_02-intentional,intentional,YS2008,0.5
YS2008-YS2008_03-neutral,neutral,YS2008,0.5
YS2008-YS2008_03-accidental,accidental,YS2008,0.5
YS2008-YS2008_03-attempted,attempted,YS2008,0.5
YS2008-YS2008_03-intentional,intentional,YS2008,0.5
YS2008-YS2008_04-neutral,neutral,YS2008,0.5
YS2008-YS2008_04-accidental,accidental,YS2008,0.5667
YS2008-YS2008_04-attempted,attempted,YS2008,0.5
YS2008-YS2008_04-intentional,intentional,YS2008,0.5333
YS2008-YS2008_05-neutral,neutral,YS2008,0.5
YS2008-YS2008_05-accidental,accidental,YS2008,0.5167
YS2008-YS2008_05-attempted,attempted,YS2008,0.5
YS2008-YS2008_05-intentional,intentional,YS2008,0.5833
YS2008-YS2008_06-neutral,neutral,YS2008,0.5
YS2008-YS2008_06-accidental,accidental,YS2008,0.5
YS2008-YS2008_06-attempted,attempted,YS2008,0.5
YS2008-YS2008_06-intentional,intentional,YS2008,0.5
YS2008-YS2008_07-neutral,neutral,YS2008,0.5
YS2008-YS2008_07-accidental,accidental,YS2008,0.5667
YS2008-YS2008_07-attempted,attempted,YS2008,0.5
YS2008-YS2008_07-intentional,intentional,YS2008,0.5333
YS2008-YS2008_08-neutral,neutral,YS2008,0.5
YS2008-YS2008_08-accidental,accidental,YS2008,0.5
YS2008-YS2008_08-attempted,attempted,YS2008,0.5
YS2008-YS2008_08-intentional,intentional,YS2008,0.5
YS2008-ASTHMA-neutral,neutral,YS2008,0.5
YS2008-ASTHMA-accidental,accidental,YS2008,0.5
YS2008-ASTHMA-attempted,attempted,YS2008,0.5
YS2008-ASTHMA-intentional,intentional,YS2008,0.5
YS2008-YS2008_10-neutral,neutral,YS2008,0.5
YS2008-YS2008_10-accidental,accidental,YS2008,0.5167
YS2008-YS2008_10-attempted,attempted,YS2008,0.5
YS2008-YS2008_10-intentional,intentional,YS2008,0.5167
YS2008-YS2008_11-neutral,neutral,YS2008,0.5
YS2008-YS2008_11-accidental,accidental,YS2008,0.5667
YS2008-YS2008_11-attempted,attempted,YS2008,0.5
YS2008-YS2008_11-intentional,intentional,YS2008,0.5
YS2008-YS2008_12-neutral,neutral,YS2008,0.5
YS2008-YS2008_12-accidental,accidental,YS2008,0.6833
YS2008-YS2008_12-attempted,attempted,YS2008,0.5
YS2008-YS2008_12-intentional,intentional,YS2008,0.5667
YS2008-YS2008_13-neutral,neutral,YS2008,0.5
YS2008-YS2008_13-accidental,accidental,YS2008,0.5
YS2008-YS2008_13-attempted,attempted,YS2008,0.5
YS2008-YS2008_13-intentional,intentional,YS2008,0.5
YS2008-YS2008_14-neutral,neutral,YS2008,0.5
YS2008-YS2008_14-accidental,accidental,YS2008,0.5833
YS2008-YS2008_14-attempted,attempted,YS2008,0.5
YS2008-YS2008_14-intentional,intentional,YS2008,0.55
YS2008-YS2008_15-neutral,neutral,YS2008,0.5
YS2008-YS2008_15-accidental,accidental,YS2008,0.5
YS2008-YS2008_15-attempted,attempted,YS2008,0.5
YS2008-YS2008_15-intentional,intentional,YS2008,0.5
YS2008-YS2008_16-neutral,neutral,YS2008,0.5
YS2008-YS2008_16-accidental,accidental,YS2008,0.6167
YS2008-YS2008_16-attempted,attempted,YS2008,0.5
YS2008-YS2008_16-intentional,intentional,YS2008,0.5667
YS2008-YS2008_17-neutral,neutral,YS2008,0.5
YS2008-YS2008_17-accidental,accidental,YS2008,0.58
YS2008-YS2008_17-attempted,attempted,YS2008,0.5
YS2008-YS2008_17-intentional,intentional,YS2008,0.6296
YS2008-YS2008_18-neutral,neutral,YS2008,0.5
YS2008-YS2008_18-accidental,accidental,YS2008,0.6
YS2008-YS2008_18-attempted,attempted,YS2008,0.5
YS2008-YS2008_18-intentional,intentional,YS2008,0.5333
YS2008-YS2008_19-neutral,neutral,YS2008,0.5
YS2008-YS2008_19-accidental,accidental,YS2008,0.5
YS2008-YS2008_19-attempted,attempted,YS2008,0.5
