template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.2051,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.234,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.2256,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.2055,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.2564,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.2347,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.3021,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.2101,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.169,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.1589,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.1872,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.138,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.1451,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.1802,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.1864,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.1711,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.3244,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.236,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.3052,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.2179,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.1767,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.2315,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.1977,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.239,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.2009,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.2503,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.1906,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.2237,1
acceptable7,YS2008-MALARIA POND-accidental,YS2008,accidental,innocent,harm,0.2159,1
acceptable7,YS2008-MALARIA POND-attempted,YS2008,attempted,guilty,no_harm,0.2392,1
acceptable7,YS2008-MALARIA POND-intentional,YS2008,intentional,guilty,harm,0.2345,1
acceptable7,YS2008-MALARIA POND-neutral,YS2008,neutral,innocent,no_harm,0.2029,1
acceptable7,YS2008-RABIES-accidental,YS2008,accidental,innocent,harm,0.213,1
acceptable7,YS2008-RABIES-attempted,YS2008,attempted,guilty,no_harm,0.2129,1
acceptable7,YS2008-RABIES-intentional,YS2008,intentional,guilty,harm,0.214,1
acceptable7,YS2008-RABIES-neutral,YS2008,neutral,innocent,no_harm,0.203,1
acceptable7,YS2008-SEATBELT-accidental,YS2008,accidental,innocent,harm,0.261,1
acceptable7,YS2008-SEATBELT-attempted,YS2008,attempted,guilty,no_harm,0.1978,1
acceptable7,YS2008-SEATBELT-intentional,YS2008,intentional,guilty,harm,0.241,1
acceptable7,YS2008-SEATBELT-neutral,YS2008,neutral,innocent,no_harm,0.2032,1
acceptable7,YS2008-SPINACH-accidental,YS2008,accidental,innocent,harm,0.2132,1
acceptable7,YS2008-SPINACH-attempted,YS2008,attempted,guilty,no_harm,0.1899,1
acceptable7,YS2008-SPINACH-intentional,YS2008,intentional,guilty,harm,0.2507,1
acceptable7,YS2008-SPINACH-neutral,YS2008,neutral,innocent,no_harm,0.1517,1
acceptable7,YS2008-SUSHI-accidental,YS2008,accidental,innocent,harm,0.272,1
acceptable7,YS2008-SUSHI-attempted,YS2008,attempted,guilty,no_harm,0.2422,1
acceptable7,YS2008-SUSHI-intentional,YS2008,intentional,guilty,harm,0.2547,1
acceptable7,YS2008-SUSHI-neutral,YS2008,neutral,innocent,no_harm,0.2494,1
acceptable7,YS2008-TEENAGERS-accidental,YS2008,accidental,innocent,harm,0.3398,1
acceptable7,YS2008-TEENAGERS-attempted,YS2008,attempted,guilty,no_harm,0.2662,1
acceptable7,YS2008-TEENAGERS-intentional,YS2008,intentional,guilty,harm,0.2945,1
acceptable7,YS2008-TEENAGERS-neutral,YS2008,neutral,innocent,no_harm,0.2831,1
acceptable7,YS2008-TREE HOUSE-accidental,YS2008,accidental,innocent,harm,0.3343,1
acceptable7,YS2008-TREE HOUSE-attempted,YS2008,attempted,guilty,no_harm,0.3104,1
acceptable7,YS2008-TREE HOUSE-intentional,YS2008,intentional,guilty,harm,0.3291,1
acceptable7,YS2008-TREE HOUSE-neutral,YS2008,neutral,innocent,no_harm,0.2875,1
acceptable7,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,0.2953,1
acceptable7,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,0.3086,1
acceptable7,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,0.3057,1
acceptable7,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,0.2636,1
acceptable7,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,0.4065,1
acceptable7,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,0.3545,1
acceptable7,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,0.394,1
acceptable7,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,0.3535,1
acceptable7,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,0.2454,1
acceptable7,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,0.2269,1
acceptable7,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,0.2233,1
acceptable7,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,0.2101,1
acceptable7,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,0.2398,1
