family,resolution,n_scenarios,base_contrast,final_contrast,delta_contrast,delta_lo,delta_hi,delta_b_intent,delta_b_outcome,degenerate,sig
OLMo-2-7B,full_pipeline,,0.0159,-0.2886,-0.3045,,,0.1006,0.4051,False,
Tulu-3-8B,full_pipeline,,-0.0358,-0.3038,-0.268,,,0.1653,0.4334,False,
Zephyr-7B,full_pipeline,,0.0,0.0,0.0,,,0.0,0.0,True,
Qwen2.5-0.5B,base_instruct,72,0.0018,-0.1014,-0.1032,-0.1231,-0.0835,0.0275,0.1352,False,True
Qwen2.5-1.5B,base_instruct,72,-0.0122,-0.1837,-0.1715,-0.2125,-0.1321,0.1841,0.375,False,True
Qwen2.5-3B,base_instruct,72,-0.0379,-0.1487,-0.1108,-0.1729,-0.0517,0.2476,0.3377,False,True
Qwen2.5-7B,base_instruct,72,-0.0381,-0.438,-0.3999,-0.4649,-0.3362,0.1473,0.5498,False,True
Qwen2.5-14B,base_instruct,72,-0.0697,-0.631,-0.5613,-0.6362,-0.483,0.2082,0.7646,False,True
Gemma-2-9B,base_instruct,72,-0.032,-0.2834,-0.2514,-0.3122,-0.1911,0.2258,0.4852,False,True
Mistral-7B-v0.3,base_instruct,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
Llama-3.1-8B,base_instruct,72,-0.042,0.084,0.126,0.0789,0.1775,0.1013,-0.0028,False,True
