model,level,level_name,n_templates,n_groups,contrast,contrast_lo,contrast_hi,d_contrast,d_lo,d_hi,b_intent,b_outcome,b_interaction,b0,mean_neutral,mean_accidental,mean_attempted,mean_intentional,rating_std,extreme_frac,n_ratings
allenai/OLMo-2-1124-7B-Instruct,1,baseline,7,371,-0.6868154986522911,-0.7158552230275718,-0.6561654496457764,0.0,0.0,0.0,0.12264955357142857,0.8094650522237197,-0.13896491745283024,0.09442901785714286,0.09442901785714286,0.9038940700808625,0.21707857142857143,0.8875787061994609,0.4120218656809236,0.34755512943432404,2086
allenai/OLMo-2-1124-7B-Instruct,2,belief_cue,7,371,-0.6485774399146451,-0.6787533201549387,-0.6155735069926664,0.038238058737645964,0.01330145714662904,0.062048521488493054,0.11110803571428572,0.7596854756289307,-0.15063162061994623,0.039123958333333334,0.039123958333333334,0.7988094339622641,0.15023199404761906,0.7592858490566037,0.40299830685842897,0.3408437200383509,2086
allenai/OLMo-2-1124-7B-Instruct,3,worked_example,7,371,-0.48236379997753825,-0.5129701837043172,-0.4514703373768545,0.20445169867475282,0.16905924128200794,0.2404412984224237,0.04370595238095239,0.5260697523584906,-0.0769601302785266,0.02081205357142857,0.02081205357142857,0.5468818059299192,0.06451800595238096,0.513627628032345,0.32195745181710117,0.31543624161073824,2086
allenai/OLMo-2-1124-7B-Instruct,4,few_shot_adult,7,371,-0.7064605654761904,-0.7305427363157772,-0.6797231148653311,-0.019645066823899326,-0.04230611244415895,0.0024067016611532426,0.09335773809523812,0.7998183035714286,-0.1265028863432165,0.05356026785714286,0.05356026785714286,0.8533785714285714,0.14691800595238097,0.820233423180593,0.4079296230322943,0.27181208053691275,2086
allenai/OLMo-2-1124-7B-Instruct,5,intent_principle,7,371,-0.43062001066936206,-0.45139057311576686,-0.4083970033778844,0.256195487982929,0.2277541091774731,0.2855481502564789,0.05187202380952381,0.4824920344788859,-0.0844941262353998,0.045128720238095235,0.045128720238095235,0.5276207547169811,0.09700074404761905,0.4949986522911051,0.2740465734100351,0.10834132310642378,2086
Qwen/Qwen2.5-14B-Instruct,1,baseline,7,371,-0.33819089734950586,-0.363151528515908,-0.3136829741062553,0.0,0.0,0.0,0.2135678571428571,0.551758754492363,-0.18039602425876,0.09408005952380953,0.09408005952380953,0.6458388140161725,0.30764791666666663,0.6790106469002696,0.3365501690046605,0.2909875359539789,2086
Qwen/Qwen2.5-14B-Instruct,2,belief_cue,7,371,-0.13751062724618152,-0.158038534032279,-0.11673791977288349,0.20068027010332434,0.18238339809377327,0.2182193180732086,0.24836071428571427,0.3858713415318958,-0.13828510781671155,0.07254806547619047,0.07254806547619047,0.45841940700808625,0.32090877976190474,0.568495013477089,0.27868124265422567,0.22003835091083412,2086
Qwen/Qwen2.5-14B-Instruct,3,worked_example,7,371,-0.12930407681940692,-0.14402880350953326,-0.1137188708305687,0.20888682053009894,0.18575061827562106,0.23238662447478978,0.1817808035714286,0.3110848803908355,-0.06974940195417792,0.061574553571428575,0.061574553571428575,0.3726594339622641,0.24335535714285716,0.48469083557951476,0.2157079775590195,0.1955896452540748,2086
Qwen/Qwen2.5-14B-Instruct,4,few_shot_adult,7,371,-0.20851001235399821,-0.23735355685748002,-0.18007265395832994,0.12968088499550764,0.09780558232938262,0.16168540653189306,0.2191436011904762,0.4276536135444744,0.04629777347259642,0.029638839285714286,0.029638839285714286,0.4572924528301887,0.2487824404761905,0.7227338274932613,0.33945207871801547,0.3868648130393097,2086
Qwen/Qwen2.5-14B-Instruct,5,intent_principle,7,371,-0.009984523809523693,-0.040641361666811086,0.021335483750430095,0.32820637353998217,0.29593926556106226,0.36024211194068145,0.3091943452380953,0.319178869047619,0.029986382524708043,0.016306845238095235,0.016306845238095235,0.3354857142857142,0.3255011904761905,0.6746664420485176,0.3214783231765894,0.38494726749760305,2086
unsloth/gemma-2-9b-it,1,baseline,7,371,-0.37480925146001814,-0.4040205561863862,-0.34539666678366676,0.0,0.0,0.0,0.26638273809523805,0.6411919895552561,-0.27335079739442947,0.17296919642857142,0.17296919642857142,0.8141611859838276,0.43935193452380944,0.8071931266846362,0.35640904417520414,0.27325023969319273,2086
unsloth/gemma-2-9b-it,2,belief_cue,7,371,-0.23370185590745723,-0.2600610226389177,-0.2068568047686897,0.1411073955525609,0.12244525828698012,0.15991138708146835,0.35638050595238097,0.5900823618598382,-0.30189573506289297,0.11422410714285715,0.11422410714285715,0.7043064690026953,0.4706046130952381,0.7587912398921833,0.33482390254950406,0.22099712368168745,2086
unsloth/gemma-2-9b-it,3,worked_example,7,371,-0.2361852734725967,-0.2603795494587323,-0.21199423984147026,0.13862397798742143,0.11075006838676696,0.16484184837266083,0.2327145833333333,0.46889985680593005,-0.15523560759209357,0.0724986607142857,0.0724986607142857,0.5413985175202157,0.305213244047619,0.6188774932614555,0.3055247653908848,0.20517737296260785,2086
