template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.0754,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.0663,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.0762,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.0574,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.0785,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.0789,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.0802,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.0706,1
acceptable7,YS2008-BAR-accidental,YS2008,accidental,innocent,harm,0.0778,1
acceptable7,YS2008-BAR-attempted,YS2008,attempted,guilty,no_harm,0.0734,1
acceptable7,YS2008-BAR-intentional,YS2008,intentional,guilty,harm,0.0772,1
acceptable7,YS2008-BAR-neutral,YS2008,neutral,innocent,no_harm,0.0703,1
acceptable7,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,0.0557,1
acceptable7,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,0.0644,1
acceptable7,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,0.0614,1
acceptable7,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,0.0664,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.0818,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.0605,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.0835,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.059,1
acceptable7,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,0.0623,1
acceptable7,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,0.0696,1
acceptable7,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,0.0585,1
acceptable7,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,0.057,1
acceptable7,YS2008-CAYO-accidental,YS2008,accidental,innocent,harm,0.0636,1
acceptable7,YS2008-CAYO-attempted,YS2008,attempted,guilty,no_harm,0.0729,1
acceptable7,YS2008-CAYO-intentional,YS2008,intentional,guilty,harm,0.0703,1
acceptable7,YS2008-CAYO-neutral,YS2008,neutral,innocent,no_harm,0.0683,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.0718,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.069,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.0738,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.0664,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.0575,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.0575,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.0634,1
