layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.5825,0.5,False
1,outcome,0.535,0.5,False
2,intent,0.54,0.5,False
2,outcome,0.54,0.5,False
3,intent,0.505,0.5,False
3,outcome,0.5525,0.5,False
4,intent,0.505,0.5,False
4,outcome,0.5725,0.5,False
5,intent,0.62,0.5,False
5,outcome,0.5325,0.5,False
6,intent,0.67,0.5,False
6,outcome,0.63,0.5,False
7,intent,0.59,0.5,False
7,outcome,0.51,0.5,False
8,intent,0.7625,0.5,False
8,outcome,0.5775,0.5,False
9,intent,0.73,0.5,False
9,outcome,0.6325,0.5,False
10,intent,0.8425,0.5,False
10,outcome,0.5975,0.5,False
11,intent,0.84,0.5,False
11,outcome,0.69,0.5,False
12,intent,0.84,0.5,False
12,outcome,0.785,0.5,False
13,intent,0.865,0.5,False
13,outcome,0.7375,0.5,False
14,intent,0.905,0.5,False
14,outcome,0.6725,0.5,False
15,intent,0.8925,0.5,False
15,outcome,0.685,0.5,False
16,intent,0.8775,0.5,False
16,outcome,0.69,0.5,False
17,intent,0.87,0.5,False
17,outcome,0.6775,0.5,False
18,intent,0.8375,0.5,False
18,outcome,0.5925,0.5,False
19,intent,0.8175,0.5,False
19,outcome,0.6275,0.5,False
20,intent,0.775,0.5,False
20,outcome,0.5525,0.5,False
21,intent,0.7275,0.5,False
21,outcome,0.58,0.5,False
22,intent,0.69,0.5,False
22,outcome,0.59,0.5,False
23,intent,0.6325,0.5,False
23,outcome,0.635,0.5,False
24,intent,0.63,0.5,False
24,outcome,0.5925,0.5,False
