template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
human_verbatim,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.5,1
human_verbatim,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.0,1
human_verbatim,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.0,1
human_verbatim,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.5,1
human_verbatim,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.5,1
human_verbatim,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.5,1
human_verbatim,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,1.0,1
human_verbatim,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.5,1
human_verbatim,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-MALARIA POND-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-MALARIA POND-attempted,YS2008,attempted,guilty,no_harm,0.5,1
human_verbatim,YS2008-MALARIA POND-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-MALARIA POND-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-RABIES-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-RABIES-attempted,YS2008,attempted,guilty,no_harm,0.5,1
human_verbatim,YS2008-RABIES-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-RABIES-neutral,YS2008,neutral,innocent,no_harm,0.5,1
human_verbatim,YS2008-SEATBELT-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-SEATBELT-attempted,YS2008,attempted,guilty,no_harm,0.5,1
human_verbatim,YS2008-SEATBELT-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-SEATBELT-neutral,YS2008,neutral,innocent,no_harm,0.5,1
human_verbatim,YS2008-SPINACH-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-SPINACH-attempted,YS2008,attempted,guilty,no_harm,0.5,1
human_verbatim,YS2008-SPINACH-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-SPINACH-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-SUSHI-accidental,YS2008,accidental,innocent,harm,0.0,1
human_verbatim,YS2008-SUSHI-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-SUSHI-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-SUSHI-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-TEENAGERS-accidental,YS2008,accidental,innocent,harm,0.5,1
human_verbatim,YS2008-TEENAGERS-attempted,YS2008,attempted,guilty,no_harm,0.0,1
human_verbatim,YS2008-TEENAGERS-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-TEENAGERS-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-TREE HOUSE-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-TREE HOUSE-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-TREE HOUSE-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-TREE HOUSE-neutral,YS2008,neutral,innocent,no_harm,0.5,1
human_verbatim,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,0.5,1
human_verbatim,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,0.5,1
human_verbatim,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,0.5,1
human_verbatim,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,0.5,1
human_verbatim,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,0.0,1
human_verbatim,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,0.0,1
human_verbatim,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,0.5,1
human_verbatim,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_11-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,0.5,1
human_verbatim,YS2008-YS2008_12-accidental,YS2008,accidental,innocent,harm,0.5,1
human_verbatim,YS2008-YS2008_12-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_12-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_12-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-YS2008_13-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_13-attempted,YS2008,attempted,guilty,no_harm,1.0,1
human_verbatim,YS2008-YS2008_13-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_13-neutral,YS2008,neutral,innocent,no_harm,0.0,1
human_verbatim,YS2008-YS2008_14-accidental,YS2008,accidental,innocent,harm,1.0,1
human_verbatim,YS2008-YS2008_14-attempted,YS2008,attempted,guilty,no_harm,0.5,1
human_verbatim,YS2008-YS2008_14-intentional,YS2008,intentional,guilty,harm,1.0,1
human_verbatim,YS2008-YS2008_14-neutral,YS2008,neutral,innocent,no_harm,0.5,1
