metric,value
intent_reliance_max,0.6403
intent_reliance_min,0.0561
intent_reliance_range,0.5842
iri_diff_human_verbatim__acceptable7,-0.5759
iri_diff_human_verbatim__blame_w1,-0.0443
iri_diff_human_verbatim__blame_w2,-0.2851
iri_diff_human_verbatim__para_blame10,-0.4879
iri_diff_human_verbatim__para_blame4,-0.3342
iri_diff_human_verbatim__persona_adult7,-0.3594
iri_diff_human_verbatim__punish_w1,-0.2421
iri_diff_human_verbatim__punish_w2,0.0083
iri_diff_human_verbatim__wrong_w1,-0.4275
iri_diff_human_verbatim__wrong_w2,-0.0643
