model,layer,is_peak,rel_depth,r_intent,r_outcome,partial_r_intent,partial_r_outcome,intent_org_ratio
OLMo-2-1124-7B,0,False,0.0,0.0035,-0.0005,0.0038,-0.0002,0.9476
OLMo-2-1124-7B,8,False,0.25,0.0641,-0.0003,0.0706,0.0046,0.9393
OLMo-2-1124-7B,15,True,0.469,0.1996,0.0132,0.2087,0.0181,0.9202
OLMo-2-1124-7B,16,False,0.5,0.1933,0.0141,0.2026,0.0192,0.9134
OLMo-2-1124-7B,24,False,0.75,0.0851,0.0065,0.0928,0.0119,0.8865
OLMo-2-1124-7B,32,False,1.0,0.0463,0.0061,0.0535,0.0118,0.8198
OLMo-2-1124-7B-Instruct,0,False,0.0,0.0029,-0.0005,0.0033,-0.0001,0.9614
OLMo-2-1124-7B-Instruct,8,False,0.25,0.096,0.0016,0.1031,0.0064,0.9419
OLMo-2-1124-7B-Instruct,16,True,0.5,0.2852,0.019,0.2966,0.0242,0.9245
OLMo-2-1124-7B-Instruct,24,False,0.75,0.147,0.0206,0.1562,0.0263,0.856
OLMo-2-1124-7B-Instruct,32,False,1.0,0.0881,0.0216,0.0962,0.0276,0.7772
Qwen2.5-0.5B,0,False,0.0,0.0046,-0.0006,0.0048,-0.0004,0.9222
Qwen2.5-0.5B,6,False,0.25,0.007,-0.001,0.0124,0.0039,0.7604
Qwen2.5-0.5B,12,False,0.5,0.0921,0.0015,0.099,0.0062,0.941
Qwen2.5-0.5B,14,True,0.583,0.0743,0.0012,0.0805,0.0058,0.9333
Qwen2.5-0.5B,18,False,0.75,0.0218,0.0059,0.0276,0.011,0.7152
Qwen2.5-0.5B,24,False,1.0,0.0073,0.0064,0.013,0.0118,0.5247
Qwen2.5-0.5B-Instruct,0,False,0.0,0.0047,-0.0006,0.0048,-0.0004,0.9221
Qwen2.5-0.5B-Instruct,6,False,0.25,0.0076,-0.0005,0.0132,0.0045,0.7437
Qwen2.5-0.5B-Instruct,12,True,0.5,0.1033,0.0018,0.1105,0.0066,0.9437
Qwen2.5-0.5B-Instruct,18,False,0.75,0.028,0.0036,0.0343,0.0089,0.7932
Qwen2.5-0.5B-Instruct,24,False,1.0,0.0063,0.0021,0.0123,0.0077,0.6151
Qwen2.5-1.5B,0,False,0.0,0.0018,-0.0001,0.0019,-0.0,0.9975
Qwen2.5-1.5B,7,False,0.25,0.0071,-0.0021,0.0126,0.0028,0.8154
Qwen2.5-1.5B,14,True,0.5,0.1428,0.0017,0.151,0.0065,0.9589
Qwen2.5-1.5B,21,False,0.75,0.0824,0.0105,0.0896,0.0157,0.8508
Qwen2.5-1.5B,28,False,1.0,0.0194,0.0123,0.0254,0.0178,0.5881
Qwen2.5-1.5B-Instruct,0,False,0.0,0.0018,-0.0001,0.0019,-0.0,0.9975
Qwen2.5-1.5B-Instruct,7,False,0.25,0.0066,-0.0035,0.012,0.0014,0.8956
Qwen2.5-1.5B-Instruct,14,True,0.5,0.1431,0.002,0.151,0.0067,0.9574
Qwen2.5-1.5B-Instruct,21,False,0.75,0.1182,0.0089,0.1261,0.014,0.9001
Qwen2.5-1.5B-Instruct,28,False,1.0,0.0303,0.0123,0.0369,0.018,0.6716
Qwen2.5-7B,0,False,0.0,0.0018,-0.0001,0.0019,-0.0,0.9975
Qwen2.5-7B,7,False,0.25,0.0303,-0.0017,0.0358,0.0029,0.9253
Qwen2.5-7B,14,False,0.5,0.1321,0.0029,0.1396,0.0075,0.9491
Qwen2.5-7B,19,True,0.679,0.1756,0.0097,0.1838,0.0144,0.9273
Qwen2.5-7B,21,False,0.75,0.126,0.0112,0.1339,0.0163,0.8917
Qwen2.5-7B,28,False,1.0,0.0447,0.0021,0.0517,0.0076,0.872
Qwen2.5-7B-Instruct,0,False,0.0,0.0017,0.0,0.0017,-0.0001,0.9684
Qwen2.5-7B-Instruct,7,False,0.25,0.0288,-0.0029,0.0341,0.0016,0.9556
Qwen2.5-7B-Instruct,14,False,0.5,0.1224,0.0032,0.1294,0.0077,0.944
Qwen2.5-7B-Instruct,20,True,0.714,0.1473,0.0173,0.155,0.0222,0.8748
Qwen2.5-7B-Instruct,21,False,0.75,0.1164,0.0166,0.1235,0.0214,0.8522
Qwen2.5-7B-Instruct,28,False,1.0,0.0296,0.0082,0.036,0.0137,0.7236
