layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.49,0.5,False
1,outcome,0.525,0.5,False
2,intent,0.615,0.5,False
2,outcome,0.5825,0.5,False
3,intent,0.4575,0.5,False
3,outcome,0.505,0.5,False
4,intent,0.6175,0.5,False
4,outcome,0.575,0.5,False
5,intent,0.6225,0.5,False
5,outcome,0.6,0.5,False
6,intent,0.815,0.5,False
6,outcome,0.625,0.5,False
7,intent,0.8725,0.5,False
7,outcome,0.63,0.5,False
8,intent,0.8875,0.5,False
8,outcome,0.67,0.5,False
9,intent,0.89,0.5,False
9,outcome,0.63,0.5,False
10,intent,0.95,0.5,False
10,outcome,0.7325,0.5,False
11,intent,0.98,0.5,False
11,outcome,0.71,0.5,False
12,intent,0.98,0.5,False
12,outcome,0.74,0.5,False
13,intent,0.98,0.5,False
13,outcome,0.7725,0.5,False
14,intent,0.96,0.5,False
14,outcome,0.83,0.5,False
15,intent,0.98,0.5,False
15,outcome,0.795,0.5,False
16,intent,0.98,0.5,False
16,outcome,0.8825,0.5,False
17,intent,0.97,0.5,False
17,outcome,0.85,0.5,False
18,intent,0.96,0.5,False
18,outcome,0.805,0.5,False
19,intent,0.94,0.5,False
19,outcome,0.8225,0.5,False
20,intent,0.93,0.5,False
20,outcome,0.7675,0.5,False
21,intent,0.94,0.5,False
21,outcome,0.765,0.5,False
22,intent,0.95,0.5,False
22,outcome,0.7675,0.5,False
23,intent,0.96,0.5,False
23,outcome,0.745,0.5,False
24,intent,0.97,0.5,False
24,outcome,0.76,0.5,False
25,intent,0.97,0.5,False
25,outcome,0.7125,0.5,False
26,intent,0.96,0.5,False
26,outcome,0.7225,0.5,False
27,intent,0.95,0.5,False
27,outcome,0.76,0.5,False
28,intent,0.95,0.5,False
28,outcome,0.735,0.5,False
29,intent,0.95,0.5,False
29,outcome,0.71,0.5,False
30,intent,0.96,0.5,False
30,outcome,0.725,0.5,False
31,intent,0.93,0.5,False
31,outcome,0.735,0.5,False
32,intent,0.94,0.5,False
32,outcome,0.705,0.5,False
