template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.402,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.2942,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.3538,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.3039,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.3183,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.3459,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.3087,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.3458,1
acceptable7,YS2008-BAR-accidental,YS2008,accidental,innocent,harm,0.31,1
acceptable7,YS2008-BAR-attempted,YS2008,attempted,guilty,no_harm,0.2504,1
acceptable7,YS2008-BAR-intentional,YS2008,intentional,guilty,harm,0.3465,1
acceptable7,YS2008-BAR-neutral,YS2008,neutral,innocent,no_harm,0.2342,1
acceptable7,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,0.5518,1
acceptable7,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,0.3777,1
acceptable7,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,0.5585,1
acceptable7,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,0.363,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.4608,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.3368,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.4896,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.3412,1
acceptable7,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,0.478,1
acceptable7,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,0.4266,1
acceptable7,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,0.4167,1
acceptable7,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,0.3868,1
acceptable7,YS2008-CAYO-accidental,YS2008,accidental,innocent,harm,0.2443,1
acceptable7,YS2008-CAYO-attempted,YS2008,attempted,guilty,no_harm,0.1957,1
acceptable7,YS2008-CAYO-intentional,YS2008,intentional,guilty,harm,0.2272,1
acceptable7,YS2008-CAYO-neutral,YS2008,neutral,innocent,no_harm,0.2034,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.3801,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.2991,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.4359,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.2962,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.3729,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.3506,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.38,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.2706,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.2817,1
