template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.5774,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.3342,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.5062,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.3214,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.7246,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.421,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.5526,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.384,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.8773,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.3466,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.8709,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.273,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.9577,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.5769,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.9845,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.2575,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.9999,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.6073,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.9999,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.389,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.8342,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.6045,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.3542,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.8468,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.8517,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.5817,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.6697,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.514,1
acceptable7,YS2008-MALARIA POND-accidental,YS2008,accidental,innocent,harm,0.5821,1
acceptable7,YS2008-MALARIA POND-attempted,YS2008,attempted,guilty,no_harm,0.3473,1
acceptable7,YS2008-MALARIA POND-intentional,YS2008,intentional,guilty,harm,0.5285,1
acceptable7,YS2008-MALARIA POND-neutral,YS2008,neutral,innocent,no_harm,0.2956,1
acceptable7,YS2008-RABIES-accidental,YS2008,accidental,innocent,harm,0.6557,1
acceptable7,YS2008-RABIES-attempted,YS2008,attempted,guilty,no_harm,0.5435,1
acceptable7,YS2008-RABIES-intentional,YS2008,intentional,guilty,harm,0.9666,1
acceptable7,YS2008-RABIES-neutral,YS2008,neutral,innocent,no_harm,0.2393,1
