layer,target,cv_acc,chance
0,intent,0.52,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.778390804597701,0.5
1,outcome,0.7614942528735632,0.5167785234899329
2,intent,0.7920689655172414,0.5
2,outcome,0.7618390804597701,0.5167785234899329
3,intent,0.7786206896551724,0.5
3,outcome,0.7952873563218391,0.5167785234899329
4,intent,0.8058620689655174,0.5
4,outcome,0.8083908045977012,0.5167785234899329
5,intent,0.9094252873563219,0.5
5,outcome,0.7917241379310346,0.5167785234899329
6,intent,0.899425287356322,0.5
6,outcome,0.8021839080459771,0.5167785234899329
7,intent,0.8894252873563218,0.5
7,outcome,0.7516091954022988,0.5167785234899329
8,intent,0.9427586206896551,0.5
8,outcome,0.7881609195402299,0.5167785234899329
9,intent,0.9360919540229885,0.5
9,outcome,0.8187356321839081,0.5167785234899329
10,intent,0.9460919540229886,0.5
10,outcome,0.852183908045977,0.5167785234899329
11,intent,0.915632183908046,0.5
11,outcome,0.8219540229885057,0.5167785234899329
12,intent,0.9189655172413793,0.5
12,outcome,0.872183908045977,0.5167785234899329
13,intent,0.9356321839080459,0.5
13,outcome,0.8956321839080459,0.5167785234899329
14,intent,0.9493103448275862,0.5
14,outcome,0.9025287356321838,0.5167785234899329
15,intent,0.9563218390804596,0.5
15,outcome,0.9024137931034483,0.5167785234899329
16,intent,0.9629885057471265,0.5
16,outcome,0.872183908045977,0.5167785234899329
17,intent,0.9563218390804599,0.5
17,outcome,0.9193103448275863,0.5167785234899329
18,intent,0.9632183908045977,0.5
18,outcome,0.8822988505747127,0.5167785234899329
19,intent,0.9596551724137932,0.5
19,outcome,0.8859770114942528,0.5167785234899329
20,intent,0.9494252873563219,0.5
20,outcome,0.8791954022988506,0.5167785234899329
21,intent,0.9463218390804597,0.5
21,outcome,0.8690804597701149,0.5167785234899329
22,intent,0.949655172413793,0.5
22,outcome,0.8857471264367816,0.5167785234899329
23,intent,0.9464367816091954,0.5
23,outcome,0.8656321839080461,0.5167785234899329
24,intent,0.9431034482758621,0.5
24,outcome,0.8686206896551724,0.5167785234899329
25,intent,0.9260919540229885,0.5
25,outcome,0.8386206896551723,0.5167785234899329
26,intent,0.9193103448275863,0.5
26,outcome,0.8250574712643678,0.5167785234899329
27,intent,0.9026436781609195,0.5
27,outcome,0.825632183908046,0.5167785234899329
28,intent,0.8922988505747126,0.5
28,outcome,0.7816091954022989,0.5167785234899329
