model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,2.173,0.4135
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.0112,0.4944
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.1302,0.4349
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.9954,0.5023
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,2.2326,0.3837
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,2.0447,0.4777
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,2.1856,0.4072
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,2.0382,0.4809
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,2.2251,0.3874
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.9623,0.5188
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,2.185,0.4075
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,1.9482,0.5259
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,2.1273,0.4363
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,1.9619,0.5191
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,2.0852,0.4574
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,1.9537,0.5231
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,2.1748,0.4126
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,2.019,0.4905
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,2.114,0.443
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,2.0165,0.4917
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,2.1805,0.4097
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,2.0253,0.4873
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,2.1438,0.4281
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,2.0231,0.4885
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,2.0772,0.4614
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,1.925,0.5375
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,2.0187,0.4907
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,1.9237,0.5382
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,2.1066,0.4467
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,2.0104,0.4948
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,2.0862,0.4569
meta-llama/Llama-3.1-8B,human_verbatim,0,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,1.9914,0.5043
