template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.3354,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.2844,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.4428,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.317,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.2737,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.3943,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.3,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.2176,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.5623,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.1642,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.6709,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.0423,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.9142,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.023,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.9286,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.0121,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.9935,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.123,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.9819,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.2684,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.2745,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.1574,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.2449,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.374,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.0544,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.534,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.0734,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.5292,1
acceptable7,YS2008-MALARIA POND-accidental,YS2008,accidental,innocent,harm,0.4283,1
acceptable7,YS2008-MALARIA POND-attempted,YS2008,attempted,guilty,no_harm,0.4707,1
acceptable7,YS2008-MALARIA POND-intentional,YS2008,intentional,guilty,harm,0.2914,1
acceptable7,YS2008-MALARIA POND-neutral,YS2008,neutral,innocent,no_harm,0.1319,1
acceptable7,YS2008-RABIES-accidental,YS2008,accidental,innocent,harm,0.5122,1
acceptable7,YS2008-RABIES-attempted,YS2008,attempted,guilty,no_harm,0.2572,1
acceptable7,YS2008-RABIES-intentional,YS2008,intentional,guilty,harm,0.4502,1
acceptable7,YS2008-RABIES-neutral,YS2008,neutral,innocent,no_harm,0.3199,1
acceptable7,YS2008-SEATBELT-accidental,YS2008,accidental,innocent,harm,0.3587,1
acceptable7,YS2008-SEATBELT-attempted,YS2008,attempted,guilty,no_harm,0.4707,1
acceptable7,YS2008-SEATBELT-intentional,YS2008,intentional,guilty,harm,0.3584,1
acceptable7,YS2008-SEATBELT-neutral,YS2008,neutral,innocent,no_harm,0.4311,1
acceptable7,YS2008-SPINACH-accidental,YS2008,accidental,innocent,harm,0.4827,1
acceptable7,YS2008-SPINACH-attempted,YS2008,attempted,guilty,no_harm,0.054,1
acceptable7,YS2008-SPINACH-intentional,YS2008,intentional,guilty,harm,0.5698,1
acceptable7,YS2008-SPINACH-neutral,YS2008,neutral,innocent,no_harm,0.0715,1
acceptable7,YS2008-SUSHI-accidental,YS2008,accidental,innocent,harm,0.3531,1
acceptable7,YS2008-SUSHI-attempted,YS2008,attempted,guilty,no_harm,0.4147,1
acceptable7,YS2008-SUSHI-intentional,YS2008,intentional,guilty,harm,0.3476,1
acceptable7,YS2008-SUSHI-neutral,YS2008,neutral,innocent,no_harm,0.0863,1
acceptable7,YS2008-TEENAGERS-accidental,YS2008,accidental,innocent,harm,0.2344,1
acceptable7,YS2008-TEENAGERS-attempted,YS2008,attempted,guilty,no_harm,0.4011,1
acceptable7,YS2008-TEENAGERS-intentional,YS2008,intentional,guilty,harm,0.2934,1
acceptable7,YS2008-TEENAGERS-neutral,YS2008,neutral,innocent,no_harm,0.3993,1
acceptable7,YS2008-TREE HOUSE-accidental,YS2008,accidental,innocent,harm,0.3544,1
acceptable7,YS2008-TREE HOUSE-attempted,YS2008,attempted,guilty,no_harm,0.5309,1
acceptable7,YS2008-TREE HOUSE-intentional,YS2008,intentional,guilty,harm,0.2573,1
acceptable7,YS2008-TREE HOUSE-neutral,YS2008,neutral,innocent,no_harm,0.5813,1
acceptable7,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,0.2574,1
acceptable7,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,0.1457,1
acceptable7,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,0.2082,1
acceptable7,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,0.0108,1
acceptable7,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,0.5066,1
acceptable7,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,0.1271,1
acceptable7,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,0.6283,1
acceptable7,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,0.2068,1
acceptable7,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,0.4593,1
acceptable7,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,0.0164,1
acceptable7,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,0.4609,1
acceptable7,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,0.0373,1
acceptable7,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,0.2656,1
acceptable7,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,0.2874,1
acceptable7,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,0.2074,1
acceptable7,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,0.342,1
acceptable7,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,0.6074,1
acceptable7,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,0.3714,1
acceptable7,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,0.6722,1
acceptable7,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,0.4473,1
acceptable7,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,0.8153,1
acceptable7,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,0.0754,1
acceptable7,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,0.7742,1
acceptable7,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,0.0664,1
acceptable7,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,0.5374,1
acceptable7,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,0.1943,1
acceptable7,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,0.1586,1
acceptable7,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,0.098,1
acceptable7,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,0.8503,1
acceptable7,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,0.1941,1
acceptable7,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,0.7919,1
acceptable7,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,0.187,1
acceptable7,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,0.6126,1
acceptable7,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,0.0007,1
acceptable7,YS2008-YS2008_11-intentional,YS2008,intentional,guilty,harm,0.8192,1
acceptable7,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,0.0995,1
acceptable7,YS2008-YS2008_12-accidental,YS2008,accidental,innocent,harm,0.5091,1
acceptable7,YS2008-YS2008_12-attempted,YS2008,attempted,guilty,no_harm,0.391,1
acceptable7,YS2008-YS2008_12-intentional,YS2008,intentional,guilty,harm,0.6667,1
acceptable7,YS2008-YS2008_12-neutral,YS2008,neutral,innocent,no_harm,0.3931,1
acceptable7,YS2008-YS2008_13-accidental,YS2008,accidental,innocent,harm,0.1706,1
