layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.8067,0.052,0.5,144
1,intent_noharm,0.84,0.0475,0.5,144
2,intent_noharm,0.82,0.0666,0.5,144
3,intent_noharm,0.8262,0.0578,0.5,144
4,intent_noharm,0.799,0.043,0.5,144
5,intent_noharm,0.7986,0.0405,0.5,144
6,intent_noharm,0.8248,0.0627,0.5,144
7,intent_noharm,0.8124,0.0631,0.5,144
8,intent_noharm,0.7919,0.0547,0.5,144
9,intent_noharm,0.8267,0.0754,0.5,144
10,intent_noharm,0.8681,0.0496,0.5,144
11,intent_noharm,0.8962,0.0423,0.5,144
12,intent_noharm,0.9029,0.0405,0.5,144
13,intent_noharm,0.9243,0.0484,0.5,144
14,intent_noharm,0.9376,0.0406,0.5,144
15,intent_noharm,0.9657,0.0309,0.5,144
16,intent_noharm,0.9514,0.0282,0.5,144
17,intent_noharm,0.931,0.0379,0.5,144
18,intent_noharm,0.9095,0.0365,0.5,144
19,intent_noharm,0.8952,0.0513,0.5,144
20,intent_noharm,0.8748,0.0473,0.5,144
21,intent_noharm,0.8676,0.0409,0.5,144
22,intent_noharm,0.8543,0.0252,0.5,144
23,intent_noharm,0.8543,0.0252,0.5,144
24,intent_noharm,0.8476,0.033,0.5,144
25,intent_noharm,0.8476,0.033,0.5,144
26,intent_noharm,0.8405,0.0409,0.5,144
27,intent_noharm,0.8262,0.0636,0.5,144
28,intent_noharm,0.8333,0.0515,0.5,144
29,intent_noharm,0.8262,0.0636,0.5,144
30,intent_noharm,0.8262,0.0636,0.5,144
31,intent_noharm,0.8543,0.0111,0.5,144
32,intent_noharm,0.8329,0.0286,0.5,144
0,intent_harm,0.7863,0.0414,0.5,154
1,intent_harm,0.7917,0.0209,0.5,154
2,intent_harm,0.8058,0.0379,0.5,154
3,intent_harm,0.8504,0.0456,0.5,154
4,intent_harm,0.7921,0.0653,0.5,154
5,intent_harm,0.8104,0.0512,0.5,154
6,intent_harm,0.7979,0.0697,0.5,154
7,intent_harm,0.7846,0.0573,0.5,154
8,intent_harm,0.8354,0.0723,0.5,154
9,intent_harm,0.8292,0.0734,0.5,154
10,intent_harm,0.8758,0.034,0.5,154
11,intent_harm,0.8688,0.064,0.5,154
12,intent_harm,0.8621,0.0593,0.5,154
13,intent_harm,0.9212,0.0349,0.5,154
14,intent_harm,0.9083,0.0401,0.5,154
15,intent_harm,0.935,0.029,0.5,154
16,intent_harm,0.9346,0.0218,0.5,154
17,intent_harm,0.9154,0.0165,0.5,154
18,intent_harm,0.8762,0.0261,0.5,154
19,intent_harm,0.9021,0.0225,0.5,154
20,intent_harm,0.9146,0.0352,0.5,154
21,intent_harm,0.8887,0.0288,0.5,154
22,intent_harm,0.9083,0.0267,0.5,154
23,intent_harm,0.8879,0.0594,0.5,154
24,intent_harm,0.875,0.0627,0.5,154
25,intent_harm,0.8883,0.0595,0.5,154
26,intent_harm,0.8821,0.0555,0.5,154
27,intent_harm,0.8621,0.0664,0.5,154
28,intent_harm,0.8629,0.0406,0.5,154
29,intent_harm,0.8692,0.0484,0.5,154
30,intent_harm,0.8242,0.0291,0.5,154
31,intent_harm,0.8371,0.0383,0.5,154
32,intent_harm,0.8246,0.0338,0.5,154
0,outcome_innocent,0.8724,0.0743,0.5168,149
1,outcome_innocent,0.8924,0.026,0.5168,149
2,outcome_innocent,0.906,0.0443,0.5168,149
3,outcome_innocent,0.9193,0.0272,0.5168,149
4,outcome_innocent,0.926,0.0257,0.5168,149
5,outcome_innocent,0.9529,0.027,0.5168,149
6,outcome_innocent,0.9391,0.0458,0.5168,149
7,outcome_innocent,0.966,0.0433,0.5168,149
8,outcome_innocent,0.9595,0.033,0.5168,149
9,outcome_innocent,0.9662,0.0303,0.5168,149
10,outcome_innocent,0.9729,0.0257,0.5168,149
11,outcome_innocent,0.9864,0.0166,0.5168,149
