layer,probe_name,cv_acc,cv_std,chance,n,degenerate
0,intent_noharm,0.5,0.0,0.5,144,True
1,intent_noharm,0.5671,0.0758,0.5,144,False
2,intent_noharm,0.5538,0.0813,0.5,144,False
3,intent_noharm,0.5757,0.0328,0.5,144,False
4,intent_noharm,0.66,0.0901,0.5,144,False
5,intent_noharm,0.6381,0.065,0.5,144,False
6,intent_noharm,0.6714,0.1026,0.5,144,False
7,intent_noharm,0.6852,0.0841,0.5,144,False
8,intent_noharm,0.6714,0.0968,0.5,144,False
9,intent_noharm,0.7629,0.0844,0.5,144,False
10,intent_noharm,0.7433,0.032,0.5,144,False
11,intent_noharm,0.7919,0.0702,0.5,144,False
12,intent_noharm,0.8967,0.0571,0.5,144,False
13,intent_noharm,0.9162,0.0491,0.5,144,False
14,intent_noharm,0.9233,0.0528,0.5,144,False
15,intent_noharm,0.8962,0.0588,0.5,144,False
16,intent_noharm,0.8829,0.0756,0.5,144,False
17,intent_noharm,0.8824,0.0743,0.5,144,False
18,intent_noharm,0.8957,0.0635,0.5,144,False
19,intent_noharm,0.8876,0.0881,0.5,144,False
20,intent_noharm,0.8738,0.0721,0.5,144,False
21,intent_noharm,0.8667,0.0816,0.5,144,False
22,intent_noharm,0.8948,0.0706,0.5,144,False
23,intent_noharm,0.84,0.0489,0.5,144,False
24,intent_noharm,0.8533,0.0541,0.5,144,False
25,intent_noharm,0.8471,0.0469,0.5,144,False
26,intent_noharm,0.8471,0.0469,0.5,144,False
27,intent_noharm,0.8405,0.0548,0.5,144,False
28,intent_noharm,0.8405,0.0548,0.5,144,False
29,intent_noharm,0.8405,0.0548,0.5,144,False
30,intent_noharm,0.8333,0.0545,0.5,144,False
31,intent_noharm,0.8405,0.0548,0.5,144,False
32,intent_noharm,0.8333,0.0632,0.5,144,False
0,intent_harm,0.5,0.0,0.5,154,False
1,intent_harm,0.5388,0.0438,0.5,154,False
2,intent_harm,0.5579,0.0375,0.5,154,False
3,intent_harm,0.5713,0.0739,0.5,154,False
4,intent_harm,0.5637,0.0521,0.5,154,False
5,intent_harm,0.5633,0.0787,0.5,154,False
6,intent_harm,0.6088,0.0744,0.5,154,False
7,intent_harm,0.6283,0.0536,0.5,154,False
8,intent_harm,0.6238,0.0642,0.5,154,False
9,intent_harm,0.6887,0.0454,0.5,154,False
10,intent_harm,0.6496,0.0981,0.5,154,False
11,intent_harm,0.6829,0.0379,0.5,154,False
12,intent_harm,0.7404,0.0653,0.5,154,False
13,intent_harm,0.7675,0.0714,0.5,154,False
14,intent_harm,0.7812,0.0742,0.5,154,False
15,intent_harm,0.8208,0.0962,0.5,154,False
16,intent_harm,0.84,0.0935,0.5,154,False
17,intent_harm,0.8463,0.0994,0.5,154,False
18,intent_harm,0.8079,0.1055,0.5,154,False
19,intent_harm,0.7688,0.0944,0.5,154,False
20,intent_harm,0.7229,0.069,0.5,154,False
21,intent_harm,0.7433,0.112,0.5,154,False
22,intent_harm,0.7292,0.0755,0.5,154,False
