layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.5,0.0,0.5,144
1,intent_noharm,0.6919,0.1047,0.5,144
2,intent_noharm,0.7067,0.0555,0.5,144
3,intent_noharm,0.7138,0.048,0.5,144
4,intent_noharm,0.6929,0.084,0.5,144
5,intent_noharm,0.7281,0.1054,0.5,144
6,intent_noharm,0.7614,0.0742,0.5,144
7,intent_noharm,0.749,0.0496,0.5,144
8,intent_noharm,0.7343,0.0591,0.5,144
9,intent_noharm,0.7619,0.0625,0.5,144
10,intent_noharm,0.7148,0.0368,0.5,144
11,intent_noharm,0.7843,0.0917,0.5,144
12,intent_noharm,0.8395,0.0497,0.5,144
13,intent_noharm,0.7981,0.0811,0.5,144
14,intent_noharm,0.8376,0.082,0.5,144
15,intent_noharm,0.8252,0.0579,0.5,144
16,intent_noharm,0.8124,0.0579,0.5,144
17,intent_noharm,0.8119,0.0502,0.5,144
18,intent_noharm,0.799,0.0211,0.5,144
19,intent_noharm,0.8124,0.0171,0.5,144
20,intent_noharm,0.7781,0.0244,0.5,144
21,intent_noharm,0.7629,0.0392,0.5,144
22,intent_noharm,0.7762,0.0681,0.5,144
23,intent_noharm,0.7329,0.1022,0.5,144
24,intent_noharm,0.7133,0.0909,0.5,144
0,intent_harm,0.5062,0.0125,0.5,154
1,intent_harm,0.5125,0.0153,0.5,154
2,intent_harm,0.5317,0.0402,0.5,154
3,intent_harm,0.5387,0.0242,0.5,154
4,intent_harm,0.5583,0.0483,0.5,154
5,intent_harm,0.5383,0.0378,0.5,154
6,intent_harm,0.5517,0.0517,0.5,154
7,intent_harm,0.5521,0.0323,0.5,154
8,intent_harm,0.5196,0.0265,0.5,154
9,intent_harm,0.52,0.0446,0.5,154
10,intent_harm,0.5267,0.0389,0.5,154
11,intent_harm,0.5121,0.0324,0.5,154
12,intent_harm,0.5379,0.0364,0.5,154
13,intent_harm,0.5454,0.0157,0.5,154
14,intent_harm,0.5575,0.0363,0.5,154
15,intent_harm,0.5258,0.0317,0.5,154
16,intent_harm,0.5262,0.0248,0.5,154
17,intent_harm,0.5392,0.032,0.5,154
18,intent_harm,0.5258,0.013,0.5,154
19,intent_harm,0.5654,0.0303,0.5,154
20,intent_harm,0.5517,0.0248,0.5,154
21,intent_harm,0.5387,0.0119,0.5,154
22,intent_harm,0.5258,0.013,0.5,154
23,intent_harm,0.5333,0.0358,0.5,154
24,intent_harm,0.5262,0.0248,0.5,154
0,outcome_innocent,0.6039,0.0337,0.5168,149
1,outcome_innocent,0.892,0.0596,0.5168,149
2,outcome_innocent,0.9529,0.0169,0.5168,149
3,outcome_innocent,0.9593,0.0399,0.5168,149
4,outcome_innocent,0.9531,0.0266,0.5168,149
5,outcome_innocent,0.9867,0.0163,0.5168,149
6,outcome_innocent,0.98,0.0163,0.5168,149
7,outcome_innocent,0.9733,0.0133,0.5168,149
8,outcome_innocent,0.9867,0.0163,0.5168,149
9,outcome_innocent,0.9867,0.0163,0.5168,149
10,outcome_innocent,0.9867,0.0163,0.5168,149
11,outcome_innocent,0.98,0.0267,0.5168,149
12,outcome_innocent,0.98,0.0267,0.5168,149
13,outcome_innocent,0.98,0.0267,0.5168,149
14,outcome_innocent,0.98,0.0267,0.5168,149
15,outcome_innocent,0.98,0.0267,0.5168,149
16,outcome_innocent,0.9867,0.0163,0.5168,149
17,outcome_innocent,0.9867,0.0163,0.5168,149
18,outcome_innocent,0.9867,0.0163,0.5168,149
19,outcome_innocent,0.9867,0.0163,0.5168,149
20,outcome_innocent,0.9867,0.0163,0.5168,149
21,outcome_innocent,0.98,0.0267,0.5168,149
22,outcome_innocent,0.98,0.0267,0.5168,149
23,outcome_innocent,0.98,0.0267,0.5168,149
24,outcome_innocent,0.98,0.0267,0.5168,149
0,outcome_guilty,0.6039,0.0337,0.5168,149
1,outcome_guilty,0.8853,0.0523,0.5168,149
2,outcome_guilty,0.946,0.0279,0.5168,149
3,outcome_guilty,0.9598,0.0132,0.5168,149
4,outcome_guilty,0.9598,0.0132,0.5168,149
5,outcome_guilty,0.9933,0.0133,0.5168,149
6,outcome_guilty,0.9733,0.0133,0.5168,149
7,outcome_guilty,0.98,0.0163,0.5168,149
8,outcome_guilty,0.98,0.0163,0.5168,149
9,outcome_guilty,0.9867,0.0163,0.5168,149
10,outcome_guilty,0.9867,0.0163,0.5168,149
11,outcome_guilty,0.9867,0.0163,0.5168,149
12,outcome_guilty,0.9867,0.0163,0.5168,149
13,outcome_guilty,0.9867,0.0163,0.5168,149
14,outcome_guilty,0.9867,0.0163,0.5168,149
15,outcome_guilty,0.9867,0.0163,0.5168,149
16,outcome_guilty,0.9867,0.0163,0.5168,149
17,outcome_guilty,0.9867,0.0163,0.5168,149
18,outcome_guilty,0.9933,0.0133,0.5168,149
19,outcome_guilty,0.9933,0.0133,0.5168,149
20,outcome_guilty,0.9933,0.0133,0.5168,149
21,outcome_guilty,0.9867,0.0163,0.5168,149
22,outcome_guilty,0.9867,0.0267,0.5168,149
23,outcome_guilty,0.9933,0.0133,0.5168,149
24,outcome_guilty,0.98,0.0267,0.5168,149
