model,pooling,target,acc_layer0,acc_peak,peak_layer,n_layers,peak_layer_frac,chance,layer0_frac_of_peak,layer0_above_chance,layer0_degenerate,inference_valid,inference_note
OLMo-2-1124-7B-Instruct,last,intent,0.5068,0.853,16,33,0.5,0.5,0.594,0.0068,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B-Instruct,last,outcome,0.5168,1.0,17,33,0.531,0.5168,0.517,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B-Instruct,mean,intent,0.5533,0.8828,15,33,0.469,0.5,0.627,0.0533,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B-Instruct,mean,outcome,0.7892,0.9967,15,33,0.469,0.5168,0.792,0.2724,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B,last,intent,0.5068,0.8428,17,33,0.531,0.5,0.601,0.0068,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B,last,outcome,0.5168,1.0,13,33,0.406,0.5168,0.517,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B,mean,intent,0.55,0.8597,15,33,0.469,0.5,0.64,0.05,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B,mean,outcome,0.7825,0.9767,13,33,0.406,0.5168,0.801,0.2657,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B-Instruct,last,intent,0.5068,0.6851,21,25,0.875,0.5,0.74,0.0068,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B-Instruct,last,outcome,0.5168,0.9833,16,25,0.667,0.5168,0.526,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B-Instruct,mean,intent,0.557,0.6506,14,25,0.583,0.5,0.856,0.057,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B-Instruct,mean,outcome,0.7386,0.9466,12,25,0.5,0.5168,0.78,0.2218,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B,last,intent,0.5068,0.6814,12,25,0.5,0.5,0.744,0.0068,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B,last,outcome,0.5168,0.9933,15,25,0.625,0.5168,0.52,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B,mean,intent,0.5539,0.6476,9,25,0.375,0.5,0.855,0.0539,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B,mean,outcome,0.7386,0.9432,12,25,0.5,0.5168,0.783,0.2218,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B-Instruct,last,intent,0.5068,0.7415,18,29,0.643,0.5,0.683,0.0068,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B-Instruct,last,outcome,0.5168,1.0,17,29,0.607,0.5168,0.517,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B-Instruct,mean,intent,0.5669,0.7286,18,29,0.643,0.5,0.778,0.0669,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B-Instruct,mean,outcome,0.8018,0.9329,15,29,0.536,0.5168,0.859,0.285,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B,last,intent,0.5068,0.7522,13,29,0.464,0.5,0.674,0.0068,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B,last,outcome,0.5168,1.0,17,29,0.607,0.5168,0.517,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B,mean,intent,0.5669,0.726,20,29,0.714,0.5,0.781,0.0669,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B,mean,outcome,0.8018,0.923,20,29,0.714,0.5168,0.869,0.285,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B-Instruct,last,intent,0.5068,0.883,17,29,0.607,0.5,0.574,0.0068,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B-Instruct,last,outcome,0.5168,1.0,16,29,0.571,0.5168,0.517,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B-Instruct,mean,intent,0.554,0.8493,18,29,0.643,0.5,0.652,0.054,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B-Instruct,mean,outcome,0.8229,0.98,18,29,0.643,0.5168,0.84,0.3061,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B,last,intent,0.5068,0.8929,19,29,0.679,0.5,0.568,0.0068,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B,last,outcome,0.5168,1.0,16,29,0.571,0.5168,0.517,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B,mean,intent,0.5507,0.8291,18,29,0.643,0.5,0.664,0.0507,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B,mean,outcome,0.8229,0.9733,18,29,0.643,0.5168,0.845,0.3061,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
