model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.3703,0.1852
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.4197,0.2098
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.3452,0.1726
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.4068,0.2034
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.4807,0.2403
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,1.4796,0.2398
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,1.4442,0.2221
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,1.5062,0.2531
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.4958,0.2479
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,1.445,0.2225
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,1.4878,0.2439
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,1.4596,0.2298
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,1.4485,0.2242
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,1.5576,0.2788
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,1.5185,0.2593
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,1.6165,0.3082
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,1.5062,0.2531
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,1.5482,0.2741
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,1.601,0.3005
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,1.6244,0.3122
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,1.4427,0.2213
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,1.3136,0.1568
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,1.4455,0.2228
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,1.3114,0.1557
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,1.4817,0.2408
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,1.5432,0.2716
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,1.475,0.2375
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,1.5209,0.2604
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,1.5574,0.2787
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,1.6251,0.3125
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-MOTORBOAT-attempted,YS2008,attempted,guilty,no_harm,1.6352,0.3176
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-MOTORBOAT-intentional,YS2008,intentional,guilty,harm,1.7094,0.3547
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,1.5209,0.2605
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,1.5469,0.2735
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,1.6336,0.3168
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,1.6084,0.3042
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-VITAMIN-neutral,YS2008,neutral,innocent,no_harm,1.5112,0.2556
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-VITAMIN-accidental,YS2008,accidental,innocent,harm,1.5336,0.2668
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-VITAMIN-attempted,YS2008,attempted,guilty,no_harm,1.5274,0.2637
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-VITAMIN-intentional,YS2008,intentional,guilty,harm,1.5511,0.2755
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-SESAME-neutral,YS2008,neutral,innocent,no_harm,1.6308,0.3154
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-SESAME-accidental,YS2008,accidental,innocent,harm,1.5665,0.2832
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-SESAME-attempted,YS2008,attempted,guilty,no_harm,1.5839,0.2919
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-SESAME-intentional,YS2008,intentional,guilty,harm,1.5801,0.29
