model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.4325,0.2162
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.4468,0.2234
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.4812,0.2406
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.433,0.2165
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,1.54,0.27
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,1.5618,0.2809
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,1.5618,0.2809
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,1.5935,0.2968
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,1.4905,0.2453
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.5067,0.2534
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,1.501,0.2505
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,1.5361,0.2681
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,1.5982,0.2991
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,1.6545,0.3273
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,1.6119,0.306
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,1.6545,0.3273
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,1.5256,0.2628
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,1.4678,0.2339
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,1.5067,0.2534
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,1.433,0.2165
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,1.5715,0.2857
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,1.5738,0.2869
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,1.6344,0.3172
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,1.5934,0.2967
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,1.4475,0.2238
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,1.5935,0.2968
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,1.4898,0.2449
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,1.6119,0.306
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,1.4898,0.2449
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,1.7473,0.3736
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,1.5769,0.2884
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,1.6506,0.3253
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,1.4589,0.2294
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,1.4475,0.2238
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,1.4812,0.2406
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,1.4276,0.2138
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,1.556,0.278
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,1.6501,0.325
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,1.6138,0.3069
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,1.6322,0.3161
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,1.5256,0.2628
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,1.6385,0.3193
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,1.6119,0.306
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_11-intentional,YS2008,intentional,guilty,harm,1.5754,0.2877
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-YS2008_12-neutral,YS2008,neutral,innocent,no_harm,1.5618,0.2809
