model,gpt-4o-mini
template,human_verbatim

MODEL condition profile (0-1 blame)
neutral,0.206
accidental,0.868
attempted,0.5278
intentional,0.8528
model_intent_reliance_4cell,0.237
model_intent_vs_outcome_contrast,-0.3402

PROMPT-INVARIANCE of intent_vs_outcome_contrast (n_templates=3)
contrast_template_mean,-0.2837
contrast_template_sd,0.0413
contrast_template_min,-0.3402
contrast_template_max,-0.2428
contrast_template_range,0.0974
  contrast[human_verbatim],-0.3402
  contrast[para_wrong7],-0.2681
  contrast[punish7],-0.2428
contrast_sign_stable_across_prompts,yes

vs adult
rmse,0.3769
profile_corr,0.4629
intent_reliance_4cell_diff,-0.6195
intent_vs_outcome_contrast_human,0.666
contrast_diff_model_minus_human,-1.0062

vs child_4_5
rmse,0.2241
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.09
contrast_diff_model_minus_human,-0.4302

vs child_6_7
rmse,0.3203
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.12
contrast_diff_model_minus_human,-0.4602

vs child_8plus
rmse,0.4657
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.19
contrast_diff_model_minus_human,-0.5302
