model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,2.2659,0.6329
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.9998,0.9999
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.688,0.344
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,2.9999,0.9999
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.766,0.383
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,2.0569,0.5285
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,1.5655,0.2827
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,2.0407,0.5204
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.4009,0.2005
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,2.9397,0.9699
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,1.7525,0.3763
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,2.4956,0.7478
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,1.6358,0.3179
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,1.8428,0.4214
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,1.6845,0.3422
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,1.7585,0.3792
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,1.3167,0.1583
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,2.0491,0.5246
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,1.8399,0.4199
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,2.0725,0.5363
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,2.1494,0.5747
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,2.6172,0.8086
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,2.0055,0.5027
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,2.6775,0.8387
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,1.0609,0.0304
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,2.9993,0.9996
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,1.4564,0.2282
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,2.9997,0.9999
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,1.8506,0.4253
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,2.9998,0.9999
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-attempted,YS2008,attempted,guilty,no_harm,2.5925,0.7963
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-intentional,YS2008,intentional,guilty,harm,2.9511,0.9755
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,2.0308,0.5154
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,2.989,0.9945
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,1.8241,0.412
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,2.0683,0.5342
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-VITAMIN-neutral,YS2008,neutral,innocent,no_harm,1.0591,0.0295
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-VITAMIN-accidental,YS2008,accidental,innocent,harm,2.4317,0.7158
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-VITAMIN-attempted,YS2008,attempted,guilty,no_harm,2.3131,0.6566
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-VITAMIN-intentional,YS2008,intentional,guilty,harm,2.9859,0.9929
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-SESAME-neutral,YS2008,neutral,innocent,no_harm,1.9114,0.4557
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-SESAME-accidental,YS2008,accidental,innocent,harm,3.0,1.0
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-SESAME-attempted,YS2008,attempted,guilty,no_harm,1.3907,0.1953
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-SESAME-intentional,YS2008,intentional,guilty,harm,2.9999,1.0
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,2.0031,0.5015
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,2.2641,0.632
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,2.0153,0.5076
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,2.6196,0.8098
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-IRON-neutral,YS2008,neutral,innocent,no_harm,1.7442,0.3721
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-IRON-accidental,YS2008,accidental,innocent,harm,2.181,0.5905
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-IRON-attempted,YS2008,attempted,guilty,no_harm,1.8887,0.4443
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-IRON-intentional,YS2008,intentional,guilty,harm,2.4366,0.7183
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-MEATLOAF-neutral,YS2008,neutral,innocent,no_harm,1.5065,0.2532
Qwen/Qwen2.5-3B-Instruct,human_verbatim,0,YS2008-MEATLOAF-accidental,YS2008,accidental,innocent,harm,2.9972,0.9986
