model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.1247,0.0623
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.1166,0.0583
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.1332,0.0666
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.1234,0.0617
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.1608,0.0804
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,1.1612,0.0806
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,1.1797,0.0898
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,1.1672,0.0836
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.1508,0.0754
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,1.1531,0.0765
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,1.1519,0.076
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,1.1389,0.0695
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,1.1275,0.0637
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,1.1491,0.0745
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,1.1284,0.0642
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,1.134,0.067
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,1.1345,0.0672
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,1.1506,0.0753
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,1.1492,0.0746
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,1.1479,0.0739
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,1.1587,0.0793
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,1.1912,0.0956
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,1.1767,0.0884
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,1.1837,0.0919
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,1.1479,0.0739
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,1.1508,0.0754
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,1.1437,0.0718
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,1.1425,0.0712
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,1.1965,0.0982
unsloth/Meta-Llama-3.1-8B,human_verbatim,0,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,1.1612,0.0806
