model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.3628,0.1814
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.3807,0.1904
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.3722,0.1861
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.3821,0.1911
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.3694,0.1847
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,1.3694,0.1847
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,1.3654,0.1827
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,1.3653,0.1826
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.3298,0.1649
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,1.3374,0.1687
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,1.3337,0.1669
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,1.3259,0.1629
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,1.3187,0.1593
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,1.3668,0.1834
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,1.3328,0.1664
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,1.3503,0.1751
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,1.2858,0.1429
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,1.3115,0.1558
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,1.3036,0.1518
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,1.3111,0.1555
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,1.3206,0.1603
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,1.3943,0.1972
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,1.3722,0.1861
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,1.3995,0.1998
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,1.3454,0.1727
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,1.3604,0.1802
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,1.3687,0.1843
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,1.3652,0.1826
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,1.3328,0.1664
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,1.347,0.1735
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-MOTORBOAT-attempted,YS2008,attempted,guilty,no_harm,1.3736,0.1868
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-MOTORBOAT-intentional,YS2008,intentional,guilty,harm,1.3552,0.1776
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,1.3302,0.1651
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,1.3459,0.1729
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,1.3502,0.1751
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,1.3396,0.1698
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-VITAMIN-neutral,YS2008,neutral,innocent,no_harm,1.3003,0.1501
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-VITAMIN-accidental,YS2008,accidental,innocent,harm,1.3338,0.1669
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-VITAMIN-attempted,YS2008,attempted,guilty,no_harm,1.3185,0.1593
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-VITAMIN-intentional,YS2008,intentional,guilty,harm,1.3225,0.1613
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-SESAME-neutral,YS2008,neutral,innocent,no_harm,1.3362,0.1681
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-SESAME-accidental,YS2008,accidental,innocent,harm,1.3687,0.1843
mistralai/Mistral-7B-v0.3,human_verbatim,0,YS2008-SESAME-attempted,YS2008,attempted,guilty,no_harm,1.3466,0.1733
