layer,target,cv_acc,chance
0,intent,0.503448275862069,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.7888505747126436,0.5
1,outcome,0.7482758620689655,0.5167785234899329
2,intent,0.7382758620689656,0.5
2,outcome,0.721264367816092,0.5167785234899329
3,intent,0.7414942528735632,0.5
3,outcome,0.7309195402298851,0.5167785234899329
4,intent,0.7583908045977011,0.5
4,outcome,0.7177011494252874,0.5167785234899329
5,intent,0.7277011494252873,0.5
5,outcome,0.7410344827586206,0.5167785234899329
6,intent,0.7274712643678161,0.5
6,outcome,0.751264367816092,0.5167785234899329
7,intent,0.7141379310344828,0.5
7,outcome,0.7444827586206897,0.5167785234899329
8,intent,0.740919540229885,0.5
8,outcome,0.7345977011494254,0.5167785234899329
9,intent,0.7614942528735631,0.5
9,outcome,0.7178160919540231,0.5167785234899329
10,intent,0.7988505747126436,0.5
10,outcome,0.7177011494252874,0.5167785234899329
11,intent,0.8086206896551724,0.5
11,outcome,0.8185057471264369,0.5167785234899329
12,intent,0.8389655172413792,0.5
12,outcome,0.7687356321839081,0.5167785234899329
13,intent,0.81183908045977,0.5
13,outcome,0.771264367816092,0.5167785234899329
14,intent,0.8283908045977011,0.5
14,outcome,0.7582758620689655,0.5167785234899329
15,intent,0.8519540229885058,0.5
15,outcome,0.7748275862068965,0.5167785234899329
16,intent,0.8318390804597702,0.5
16,outcome,0.8049425287356321,0.5167785234899329
17,intent,0.848735632183908,0.5
17,outcome,0.7782758620689656,0.5167785234899329
18,intent,0.8287356321839081,0.5
18,outcome,0.7983908045977012,0.5167785234899329
19,intent,0.8052873563218391,0.5
19,outcome,0.825287356321839,0.5167785234899329
20,intent,0.80183908045977,0.5
20,outcome,0.7955172413793103,0.5167785234899329
21,intent,0.7985057471264368,0.5
21,outcome,0.8054022988505747,0.5167785234899329
22,intent,0.8388505747126438,0.5
22,outcome,0.7916091954022988,0.5167785234899329
23,intent,0.81183908045977,0.5
23,outcome,0.7749425287356322,0.5167785234899329
24,intent,0.8118390804597702,0.5
24,outcome,0.8050574712643679,0.5167785234899329
25,intent,0.8117241379310345,0.5
25,outcome,0.7917241379310346,0.5167785234899329
26,intent,0.825287356321839,0.5
26,outcome,0.7981609195402298,0.5167785234899329
27,intent,0.8083908045977012,0.5
27,outcome,0.8119540229885057,0.5167785234899329
28,intent,0.8017241379310345,0.5
28,outcome,0.7948275862068965,0.5167785234899329
