model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.7437,0.3718
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.5856,0.2928
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.6105,0.3053
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.7156,0.3578
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,1.8446,0.4223
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,1.5548,0.2774
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,1.9202,0.4601
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,1.5492,0.2746
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,1.8852,0.4426
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.885,0.4425
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,1.9278,0.4639
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,1.8301,0.4151
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,2.0678,0.5339
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,1.8145,0.4073
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,1.974,0.487
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,1.9461,0.473
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,1.6437,0.3218
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,1.6873,0.3436
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,1.6167,0.3083
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,1.6659,0.3329
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,1.9593,0.4796
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,2.206,0.603
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,1.9725,0.4862
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,2.2203,0.6102
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,1.6994,0.3497
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,1.6663,0.3331
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,1.6958,0.3479
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,1.6139,0.3069
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,1.933,0.4665
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,1.8533,0.4266
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,1.8797,0.4399
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,1.7872,0.3936
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,2.0556,0.5278
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,1.8916,0.4458
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,2.0563,0.5282
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,1.972,0.486
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,1.8736,0.4368
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,1.8542,0.4271
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,1.921,0.4605
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,1.7682,0.3841
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,1.7423,0.3711
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,1.7257,0.3629
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,1.6224,0.3112
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_11-intentional,YS2008,intentional,guilty,harm,1.612,0.306
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_12-neutral,YS2008,neutral,innocent,no_harm,1.8871,0.4436
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_12-accidental,YS2008,accidental,innocent,harm,1.7497,0.3749
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_12-attempted,YS2008,attempted,guilty,no_harm,1.8864,0.4432
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_12-intentional,YS2008,intentional,guilty,harm,1.7308,0.3654
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_13-neutral,YS2008,neutral,innocent,no_harm,1.761,0.3805
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_13-accidental,YS2008,accidental,innocent,harm,1.6491,0.3246
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_13-attempted,YS2008,attempted,guilty,no_harm,1.8874,0.4437
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_13-intentional,YS2008,intentional,guilty,harm,1.521,0.2605
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_14-neutral,YS2008,neutral,innocent,no_harm,1.9478,0.4739
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_14-accidental,YS2008,accidental,innocent,harm,1.7272,0.3636
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_14-attempted,YS2008,attempted,guilty,no_harm,1.9605,0.4803
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_14-intentional,YS2008,intentional,guilty,harm,1.7481,0.3741
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_15-neutral,YS2008,neutral,innocent,no_harm,1.9011,0.4506
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_15-accidental,YS2008,accidental,innocent,harm,1.6261,0.3131
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_15-attempted,YS2008,attempted,guilty,no_harm,1.7788,0.3894
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_15-intentional,YS2008,intentional,guilty,harm,1.6134,0.3067
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_16-neutral,YS2008,neutral,innocent,no_harm,2.0564,0.5282
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_16-accidental,YS2008,accidental,innocent,harm,1.9395,0.4697
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_16-attempted,YS2008,attempted,guilty,no_harm,2.0802,0.5401
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_16-intentional,YS2008,intentional,guilty,harm,1.8744,0.4372
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_17-neutral,YS2008,neutral,innocent,no_harm,1.715,0.3575
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_17-accidental,YS2008,accidental,innocent,harm,1.7863,0.3932
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_17-attempted,YS2008,attempted,guilty,no_harm,1.7073,0.3537
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_17-intentional,YS2008,intentional,guilty,harm,1.6677,0.3338
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_18-neutral,YS2008,neutral,innocent,no_harm,1.7394,0.3697
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_18-accidental,YS2008,accidental,innocent,harm,1.6068,0.3034
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_18-attempted,YS2008,attempted,guilty,no_harm,1.7849,0.3924
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-YS2008_18-intentional,YS2008,intentional,guilty,harm,1.7694,0.3847
