layer,probe_name,cv_acc,cv_std,chance,n,degenerate
0,intent_noharm,0.5,0.0,0.5,144,True
1,intent_noharm,0.5133,0.0525,0.5,144,False
2,intent_noharm,0.5405,0.0503,0.5,144,False
3,intent_noharm,0.5276,0.0339,0.5,144,False
4,intent_noharm,0.5471,0.0498,0.5,144,False
5,intent_noharm,0.5829,0.094,0.5,144,False
6,intent_noharm,0.6229,0.0965,0.5,144,False
7,intent_noharm,0.609,0.083,0.5,144,False
8,intent_noharm,0.5548,0.0341,0.5,144,False
9,intent_noharm,0.6448,0.0479,0.5,144,False
10,intent_noharm,0.6405,0.0607,0.5,144,False
11,intent_noharm,0.7629,0.0815,0.5,144,False
12,intent_noharm,0.7152,0.0607,0.5,144,False
13,intent_noharm,0.6876,0.0579,0.5,144,False
14,intent_noharm,0.7014,0.047,0.5,144,False
15,intent_noharm,0.729,0.0607,0.5,144,False
16,intent_noharm,0.66,0.0418,0.5,144,False
17,intent_noharm,0.6433,0.0915,0.5,144,False
18,intent_noharm,0.6719,0.0559,0.5,144,False
19,intent_noharm,0.6305,0.0781,0.5,144,False
20,intent_noharm,0.6448,0.0766,0.5,144,False
21,intent_noharm,0.6943,0.0348,0.5,144,False
22,intent_noharm,0.7067,0.0918,0.5,144,False
23,intent_noharm,0.6857,0.0613,0.5,144,False
24,intent_noharm,0.6848,0.0882,0.5,144,False
0,intent_harm,0.5125,0.0153,0.5,154,False
1,intent_harm,0.5329,0.0516,0.5,154,False
2,intent_harm,0.5454,0.0157,0.5,154,False
3,intent_harm,0.5312,0.0395,0.5,154,False
4,intent_harm,0.4992,0.0553,0.5,154,False
5,intent_harm,0.5196,0.051,0.5,154,False
6,intent_harm,0.5383,0.0481,0.5,154,False
7,intent_harm,0.5192,0.0252,0.5,154,False
8,intent_harm,0.5325,0.0466,0.5,154,False
9,intent_harm,0.5517,0.0772,0.5,154,False
10,intent_harm,0.61,0.0552,0.5,154,False
11,intent_harm,0.6367,0.0491,0.5,154,False
12,intent_harm,0.6471,0.0925,0.5,154,False
13,intent_harm,0.6425,0.0602,0.5,154,False
14,intent_harm,0.6096,0.0642,0.5,154,False
15,intent_harm,0.6033,0.0787,0.5,154,False
16,intent_harm,0.635,0.0583,0.5,154,False
17,intent_harm,0.6242,0.0277,0.5,154,False
18,intent_harm,0.6246,0.0579,0.5,154,False
19,intent_harm,0.6492,0.0877,0.5,154,False
20,intent_harm,0.6558,0.051,0.5,154,False
21,intent_harm,0.6746,0.0746,0.5,154,False
22,intent_harm,0.61,0.0233,0.5,154,False
23,intent_harm,0.6042,0.0517,0.5,154,False
24,intent_harm,0.6237,0.0396,0.5,154,False
0,outcome_innocent,0.5168,0.0149,0.5168,149,True
1,outcome_innocent,0.7986,0.0299,0.5168,149,False
2,outcome_innocent,0.7995,0.0657,0.5168,149,False
3,outcome_innocent,0.7791,0.0675,0.5168,149,False
4,outcome_innocent,0.8198,0.0855,0.5168,149,False
5,outcome_innocent,0.9393,0.0335,0.5168,149,False
6,outcome_innocent,0.9131,0.0496,0.5168,149,False
7,outcome_innocent,0.9264,0.0532,0.5168,149,False
8,outcome_innocent,0.9598,0.0388,0.5168,149,False
9,outcome_innocent,0.9667,0.0422,0.5168,149,False
10,outcome_innocent,0.9533,0.0653,0.5168,149,False
11,outcome_innocent,0.98,0.04,0.5168,149,False
12,outcome_innocent,0.98,0.04,0.5168,149,False
13,outcome_innocent,0.9733,0.0389,0.5168,149,False
14,outcome_innocent,0.98,0.04,0.5168,149,False
15,outcome_innocent,0.98,0.04,0.5168,149,False
16,outcome_innocent,0.98,0.04,0.5168,149,False
17,outcome_innocent,0.98,0.04,0.5168,149,False
18,outcome_innocent,0.98,0.04,0.5168,149,False
19,outcome_innocent,0.9733,0.0389,0.5168,149,False
20,outcome_innocent,0.98,0.04,0.5168,149,False
21,outcome_innocent,0.98,0.04,0.5168,149,False
22,outcome_innocent,0.98,0.04,0.5168,149,False
23,outcome_innocent,0.9731,0.0389,0.5168,149,False
24,outcome_innocent,0.9731,0.0389,0.5168,149,False
0,outcome_guilty,0.5168,0.0149,0.5168,149,False
1,outcome_guilty,0.8193,0.0531,0.5168,149,False
2,outcome_guilty,0.7862,0.0739,0.5168,149,False
3,outcome_guilty,0.8195,0.0679,0.5168,149,False
4,outcome_guilty,0.8262,0.0923,0.5168,149,False
5,outcome_guilty,0.906,0.0328,0.5168,149,False
6,outcome_guilty,0.8664,0.0892,0.5168,149,False
7,outcome_guilty,0.8998,0.0418,0.5168,149,False
8,outcome_guilty,0.9598,0.0388,0.5168,149,False
9,outcome_guilty,0.9733,0.0389,0.5168,149,False
10,outcome_guilty,0.9464,0.0618,0.5168,149,False
11,outcome_guilty,0.98,0.04,0.5168,149,False
12,outcome_guilty,0.98,0.04,0.5168,149,False
13,outcome_guilty,0.9733,0.0389,0.5168,149,False
14,outcome_guilty,0.98,0.0267,0.5168,149,False
15,outcome_guilty,0.9933,0.0133,0.5168,149,False
16,outcome_guilty,0.9867,0.0267,0.5168,149,False
17,outcome_guilty,0.98,0.04,0.5168,149,False
18,outcome_guilty,0.98,0.04,0.5168,149,False
19,outcome_guilty,0.98,0.04,0.5168,149,False
20,outcome_guilty,0.98,0.04,0.5168,149,False
21,outcome_guilty,0.98,0.04,0.5168,149,False
22,outcome_guilty,0.96,0.0533,0.5168,149,False
23,outcome_guilty,0.9733,0.0533,0.5168,149,False
24,outcome_guilty,0.9531,0.0498,0.5168,149,False
