layer,probe_name,cv_acc,cv_std,chance,n,degenerate
0,intent_noharm,0.5,0.0,0.5,144,True
1,intent_noharm,0.5571,0.0833,0.5,144,False
2,intent_noharm,0.5262,0.0496,0.5,144,False
3,intent_noharm,0.5067,0.0533,0.5,144,False
4,intent_noharm,0.5767,0.0574,0.5,144,False
5,intent_noharm,0.6238,0.079,0.5,144,False
6,intent_noharm,0.5981,0.0288,0.5,144,False
7,intent_noharm,0.6448,0.0465,0.5,144,False
8,intent_noharm,0.6467,0.0617,0.5,144,False
9,intent_noharm,0.6124,0.0541,0.5,144,False
10,intent_noharm,0.6395,0.0608,0.5,144,False
11,intent_noharm,0.7652,0.0893,0.5,144,False
12,intent_noharm,0.7581,0.0695,0.5,144,False
13,intent_noharm,0.7095,0.0491,0.5,144,False
14,intent_noharm,0.701,0.0558,0.5,144,False
15,intent_noharm,0.7376,0.0655,0.5,144,False
16,intent_noharm,0.701,0.0211,0.5,144,False
17,intent_noharm,0.6452,0.0387,0.5,144,False
18,intent_noharm,0.611,0.0254,0.5,144,False
19,intent_noharm,0.6462,0.0361,0.5,144,False
20,intent_noharm,0.619,0.0643,0.5,144,False
21,intent_noharm,0.6319,0.0405,0.5,144,False
22,intent_noharm,0.6814,0.0381,0.5,144,False
23,intent_noharm,0.6667,0.0568,0.5,144,False
24,intent_noharm,0.6952,0.1034,0.5,144,False
0,intent_harm,0.5125,0.0153,0.5,154,False
1,intent_harm,0.5646,0.0463,0.5,154,False
2,intent_harm,0.5304,0.0696,0.5,154,False
3,intent_harm,0.5379,0.0459,0.5,154,False
4,intent_harm,0.5317,0.0454,0.5,154,False
5,intent_harm,0.5583,0.0415,0.5,154,False
6,intent_harm,0.5517,0.0517,0.5,154,False
7,intent_harm,0.5192,0.0329,0.5,154,False
8,intent_harm,0.5258,0.013,0.5,154,False
9,intent_harm,0.5775,0.0606,0.5,154,False
10,intent_harm,0.585,0.0949,0.5,154,False
11,intent_harm,0.6558,0.0414,0.5,154,False
12,intent_harm,0.6229,0.0559,0.5,154,False
13,intent_harm,0.6613,0.0703,0.5,154,False
14,intent_harm,0.6221,0.0436,0.5,154,False
15,intent_harm,0.6225,0.0749,0.5,154,False
16,intent_harm,0.6167,0.057,0.5,154,False
17,intent_harm,0.6504,0.0475,0.5,154,False
18,intent_harm,0.6371,0.0585,0.5,154,False
19,intent_harm,0.675,0.0587,0.5,154,False
20,intent_harm,0.6567,0.0622,0.5,154,False
21,intent_harm,0.6475,0.1166,0.5,154,False
22,intent_harm,0.6417,0.0742,0.5,154,False
23,intent_harm,0.5717,0.0244,0.5,154,False
24,intent_harm,0.5704,0.0541,0.5,154,False
0,outcome_innocent,0.5168,0.0149,0.5168,149,True
1,outcome_innocent,0.8126,0.0531,0.5168,149,False
2,outcome_innocent,0.7929,0.0703,0.5168,149,False
3,outcome_innocent,0.7798,0.0998,0.5168,149,False
4,outcome_innocent,0.8464,0.0774,0.5168,149,False
5,outcome_innocent,0.9526,0.0409,0.5168,149,False
6,outcome_innocent,0.9331,0.0363,0.5168,149,False
7,outcome_innocent,0.9264,0.0488,0.5168,149,False
8,outcome_innocent,0.9664,0.0516,0.5168,149,False
9,outcome_innocent,0.9731,0.0389,0.5168,149,False
10,outcome_innocent,0.9731,0.0389,0.5168,149,False
11,outcome_innocent,0.98,0.04,0.5168,149,False
12,outcome_innocent,0.9933,0.0133,0.5168,149,False
13,outcome_innocent,0.9933,0.0133,0.5168,149,False
14,outcome_innocent,0.9933,0.0133,0.5168,149,False
15,outcome_innocent,0.9933,0.0133,0.5168,149,False
16,outcome_innocent,0.9933,0.0133,0.5168,149,False
17,outcome_innocent,0.9933,0.0133,0.5168,149,False
18,outcome_innocent,0.9933,0.0133,0.5168,149,False
19,outcome_innocent,0.9933,0.0133,0.5168,149,False
20,outcome_innocent,0.98,0.04,0.5168,149,False
21,outcome_innocent,0.9933,0.0133,0.5168,149,False
22,outcome_innocent,0.9933,0.0133,0.5168,149,False
23,outcome_innocent,0.9731,0.0389,0.5168,149,False
24,outcome_innocent,0.9662,0.0425,0.5168,149,False
0,outcome_guilty,0.5168,0.0149,0.5168,149,False
1,outcome_guilty,0.8195,0.061,0.5168,149,False
2,outcome_guilty,0.8129,0.0645,0.5168,149,False
3,outcome_guilty,0.7929,0.0703,0.5168,149,False
4,outcome_guilty,0.8798,0.0495,0.5168,149,False
5,outcome_guilty,0.906,0.039,0.5168,149,False
6,outcome_guilty,0.846,0.0744,0.5168,149,False
7,outcome_guilty,0.8664,0.0916,0.5168,149,False
8,outcome_guilty,0.9398,0.0441,0.5168,149,False
9,outcome_guilty,0.9731,0.0389,0.5168,149,False
10,outcome_guilty,0.9598,0.0388,0.5168,149,False
11,outcome_guilty,0.98,0.04,0.5168,149,False
12,outcome_guilty,0.9933,0.0133,0.5168,149,False
13,outcome_guilty,0.98,0.04,0.5168,149,False
14,outcome_guilty,0.98,0.04,0.5168,149,False
15,outcome_guilty,0.9933,0.0133,0.5168,149,False
16,outcome_guilty,0.9933,0.0133,0.5168,149,False
17,outcome_guilty,0.9933,0.0133,0.5168,149,False
18,outcome_guilty,0.9933,0.0133,0.5168,149,False
19,outcome_guilty,0.9933,0.0133,0.5168,149,False
20,outcome_guilty,0.98,0.04,0.5168,149,False
21,outcome_guilty,0.98,0.0267,0.5168,149,False
22,outcome_guilty,0.9733,0.0327,0.5168,149,False
23,outcome_guilty,0.9329,0.073,0.5168,149,False
24,outcome_guilty,0.9462,0.05,0.5168,149,False
