story_id,condition,source,ev_norm
YS2008-COFFEE-neutral,neutral,YS2008,0.4081
YS2008-COFFEE-accidental,accidental,YS2008,0.9804
YS2008-COFFEE-attempted,attempted,YS2008,0.2001
YS2008-COFFEE-intentional,intentional,YS2008,0.9803
YS2008-YS2008_02-neutral,neutral,YS2008,0.0178
YS2008-YS2008_02-accidental,accidental,YS2008,0.3478
YS2008-YS2008_02-attempted,attempted,YS2008,0.3571
YS2008-YS2008_02-intentional,intentional,YS2008,0.378
YS2008-YS2008_03-neutral,neutral,YS2008,0.3031
YS2008-YS2008_03-accidental,accidental,YS2008,0.2415
YS2008-YS2008_03-attempted,attempted,YS2008,0.3619
YS2008-YS2008_03-intentional,intentional,YS2008,0.2897
YS2008-YS2008_04-neutral,neutral,YS2008,0.0403
YS2008-YS2008_04-accidental,accidental,YS2008,0.4082
YS2008-YS2008_04-attempted,attempted,YS2008,0.0725
YS2008-YS2008_04-intentional,intentional,YS2008,0.4848
YS2008-YS2008_05-neutral,neutral,YS2008,0.1319
YS2008-YS2008_05-accidental,accidental,YS2008,0.1525
YS2008-YS2008_05-attempted,attempted,YS2008,0.4055
YS2008-YS2008_05-intentional,intentional,YS2008,0.209
YS2008-YS2008_06-neutral,neutral,YS2008,0.23
YS2008-YS2008_06-accidental,accidental,YS2008,0.4662
YS2008-YS2008_06-attempted,attempted,YS2008,0.4882
YS2008-YS2008_06-intentional,intentional,YS2008,0.4876
YS2008-YS2008_07-neutral,neutral,YS2008,0.0083
YS2008-YS2008_07-accidental,accidental,YS2008,0.1986
YS2008-YS2008_07-attempted,attempted,YS2008,0.1614
YS2008-YS2008_07-intentional,intentional,YS2008,0.2442
YS2008-YS2008_08-neutral,neutral,YS2008,0.2301
YS2008-YS2008_08-accidental,accidental,YS2008,0.4434
YS2008-YS2008_08-attempted,attempted,YS2008,0.1886
YS2008-YS2008_08-intentional,intentional,YS2008,0.0498
YS2008-ASTHMA-neutral,neutral,YS2008,0.335
YS2008-ASTHMA-accidental,accidental,YS2008,0.48
YS2008-ASTHMA-attempted,attempted,YS2008,0.4886
YS2008-ASTHMA-intentional,intentional,YS2008,0.4635
YS2008-YS2008_10-neutral,neutral,YS2008,0.0422
