layer,target,cv_acc,chance
0,intent,0.5067816091954023,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.5504597701149425,0.5
1,outcome,0.8364367816091954,0.5167785234899329
2,intent,0.5703448275862069,0.5
2,outcome,0.8264367816091953,0.5167785234899329
3,intent,0.5637931034482759,0.5
3,outcome,0.9133333333333333,0.5167785234899329
4,intent,0.5601149425287356,0.5
4,outcome,0.9098850574712645,0.5167785234899329
5,intent,0.5841379310344827,0.5
5,outcome,0.9196551724137931,0.5167785234899329
6,intent,0.6108045977011494,0.5
6,outcome,0.9028735632183909,0.5167785234899329
7,intent,0.5566666666666666,0.5
7,outcome,0.9497701149425287,0.5167785234899329
8,intent,0.6111494252873564,0.5
8,outcome,0.9228735632183908,0.5167785234899329
9,intent,0.5735632183908045,0.5
9,outcome,0.9866666666666667,0.5167785234899329
10,intent,0.5871264367816091,0.5
10,outcome,0.9766666666666666,0.5167785234899329
11,intent,0.6610344827586208,0.5
11,outcome,0.9933333333333334,0.5167785234899329
12,intent,0.6645977011494253,0.5
12,outcome,0.9933333333333334,0.5167785234899329
13,intent,0.7586206896551724,0.5
13,outcome,0.9933333333333334,0.5167785234899329
14,intent,0.6943678160919541,0.5
14,outcome,0.9933333333333334,0.5167785234899329
15,intent,0.6977011494252874,0.5
15,outcome,0.9933333333333334,0.5167785234899329
16,intent,0.6713793103448276,0.5
16,outcome,0.9966666666666667,0.5167785234899329
17,intent,0.7014942528735632,0.5
17,outcome,1.0,0.5167785234899329
18,intent,0.7349425287356322,0.5
18,outcome,1.0,0.5167785234899329
19,intent,0.6716091954022989,0.5
19,outcome,0.9966666666666667,0.5167785234899329
20,intent,0.6981609195402299,0.5
20,outcome,0.9933333333333334,0.5167785234899329
21,intent,0.6881609195402298,0.5
21,outcome,0.9933333333333334,0.5167785234899329
22,intent,0.657471264367816,0.5
22,outcome,0.9933333333333334,0.5167785234899329
23,intent,0.664367816091954,0.5
23,outcome,0.9966666666666667,0.5167785234899329
24,intent,0.6509195402298852,0.5
24,outcome,0.9866666666666667,0.5167785234899329
25,intent,0.684712643678161,0.5
25,outcome,0.99,0.5167785234899329
26,intent,0.7047126436781609,0.5
26,outcome,0.9833333333333332,0.5167785234899329
27,intent,0.6811494252873563,0.5
27,outcome,0.9800000000000001,0.5167785234899329
28,intent,0.6542528735632184,0.5
28,outcome,0.9866666666666667,0.5167785234899329
