model,condition,provider,story_id,condition_cell,template,sample_i,rating,rating_norm,s_min,s_max
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,0,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,1,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,2,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,3,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,4,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,5,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,6,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,7,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,8,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,9,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,10,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,11,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,12,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,13,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,14,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,15,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,16,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,17,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,18,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,human_verbatim,19,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,0,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,1,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,2,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,3,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,4,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,5,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,6,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,7,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,8,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,9,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,10,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,11,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,12,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,13,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,14,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,15,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,16,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,17,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,18,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,blame_w1,19,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,0,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,1,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,2,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,3,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,4,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,5,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,6,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,7,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,8,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,9,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,10,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,11,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,12,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,13,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,14,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,15,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,16,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,17,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,18,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,wrong_w1,19,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,0,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,1,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,2,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,3,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,4,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,5,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,6,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,7,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,8,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,9,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,10,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,11,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,12,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,13,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,14,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,15,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,16,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,17,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,18,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-neutral,neutral,punish_w1,19,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,0,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,1,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,2,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,3,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,4,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,5,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,6,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,7,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,8,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,9,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,10,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,11,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,12,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,13,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,14,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,15,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,16,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,17,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,18,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,human_verbatim,19,1,0.0,1,3
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,blame_w1,0,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,blame_w1,1,1,0.0,1,7
gpt-5.5,direct,openai,YS2008-COFFEE-accidental,accidental,blame_w1,2,1,0.0,1,7
