model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.3835,0.1918
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.9966,0.9983
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.5891,0.7945
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,2.9979,0.999
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,1.0023,0.0011
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,2.9687,0.9843
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,1.3937,0.1969
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,2.975,0.9875
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,1.9751,0.4876
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,2.6113,0.8057
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,1.9835,0.4918
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,2.8022,0.9011
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,1.0064,0.0032
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,2.944,0.972
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,1.7865,0.3933
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,2.7651,0.8825
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,1.9822,0.4911
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,2.9366,0.9683
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,1.9938,0.4969
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,2.4049,0.7025
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,1.9087,0.4543
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,2.9862,0.9931
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,2.1053,0.5527
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,2.9886,0.9943
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,1.833,0.4165
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,2.995,0.9975
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,2.6732,0.8366
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,2.995,0.9975
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,1.0077,0.0039
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,2.9515,0.9757
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,2.0184,0.5092
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,2.0549,0.5274
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,1.9724,0.4862
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,2.7734,0.8867
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,2.0385,0.5192
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,2.083,0.5415
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,1.4475,0.2238
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,2.9933,0.9966
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,2.0475,0.5238
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,2.9948,0.9974
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,1.9494,0.4747
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,2.9987,0.9993
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,2.3401,0.67
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_11-intentional,YS2008,intentional,guilty,harm,2.9984,0.9992
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_12-neutral,YS2008,neutral,innocent,no_harm,1.739,0.3695
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_12-accidental,YS2008,accidental,innocent,harm,2.9667,0.9833
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_12-attempted,YS2008,attempted,guilty,no_harm,2.0723,0.5361
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_12-intentional,YS2008,intentional,guilty,harm,2.9833,0.9916
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_13-neutral,YS2008,neutral,innocent,no_harm,2.0354,0.5177
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_13-accidental,YS2008,accidental,innocent,harm,2.9797,0.9899
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_13-attempted,YS2008,attempted,guilty,no_harm,2.01,0.505
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_13-intentional,YS2008,intentional,guilty,harm,2.9554,0.9777
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_14-neutral,YS2008,neutral,innocent,no_harm,1.947,0.4735
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_14-accidental,YS2008,accidental,innocent,harm,2.9619,0.981
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_14-attempted,YS2008,attempted,guilty,no_harm,2.0183,0.5092
unsloth/gemma-2-9b-it,human_verbatim,0,YS2008-YS2008_14-intentional,YS2008,intentional,guilty,harm,2.9783,0.9891
