layer,target,cv_acc,chance
0,intent,0.503448275862069,0.5
0,outcome,0.6039080459770115,0.5167785234899329
1,intent,0.6712643678160919,0.5
1,outcome,0.8924137931034481,0.5167785234899329
2,intent,0.657816091954023,0.5
2,outcome,0.9626436781609197,0.5167785234899329
3,intent,0.654367816091954,0.5
3,outcome,0.9833333333333332,0.5167785234899329
4,intent,0.6413793103448275,0.5
4,outcome,0.99,0.5167785234899329
5,intent,0.6344827586206897,0.5
5,outcome,0.9833333333333334,0.5167785234899329
6,intent,0.6612643678160919,0.5
6,outcome,0.9866666666666667,0.5167785234899329
7,intent,0.684712643678161,0.5
7,outcome,0.9933333333333334,0.5167785234899329
8,intent,0.6680459770114943,0.5
8,outcome,0.9933333333333334,0.5167785234899329
9,intent,0.681264367816092,0.5
9,outcome,0.9966666666666667,0.5167785234899329
10,intent,0.6779310344827587,0.5
10,outcome,0.99,0.5167785234899329
11,intent,0.647816091954023,0.5
11,outcome,0.9966666666666667,0.5167785234899329
12,intent,0.6880459770114943,0.5
12,outcome,0.9933333333333334,0.5167785234899329
13,intent,0.6947126436781609,0.5
13,outcome,0.99,0.5167785234899329
14,intent,0.687816091954023,0.5
14,outcome,0.9966666666666667,0.5167785234899329
15,intent,0.721264367816092,0.5
15,outcome,0.9966666666666667,0.5167785234899329
16,intent,0.7147126436781609,0.5
16,outcome,0.9966666666666667,0.5167785234899329
17,intent,0.7414942528735632,0.5
17,outcome,0.9966666666666667,0.5167785234899329
18,intent,0.721609195402299,0.5
18,outcome,0.9966666666666667,0.5167785234899329
19,intent,0.7552873563218391,0.5
19,outcome,1.0,0.5167785234899329
20,intent,0.7486206896551725,0.5
20,outcome,1.0,0.5167785234899329
21,intent,0.7550574712643678,0.5
21,outcome,1.0,0.5167785234899329
22,intent,0.7351724137931035,0.5
22,outcome,1.0,0.5167785234899329
23,intent,0.7145977011494253,0.5
23,outcome,0.9966666666666667,0.5167785234899329
24,intent,0.7014942528735632,0.5
24,outcome,0.9966666666666667,0.5167785234899329
25,intent,0.6916091954022988,0.5
25,outcome,0.9966666666666667,0.5167785234899329
26,intent,0.6809195402298851,0.5
26,outcome,0.9966666666666667,0.5167785234899329
27,intent,0.6606896551724138,0.5
27,outcome,0.9966666666666667,0.5167785234899329
28,intent,0.6744827586206897,0.5
28,outcome,0.99,0.5167785234899329
