model,Qwen_Qwen2.5-7B-Instruct
template,human_verbatim

MODEL condition profile (0-1 blame)
neutral,0.2575
accidental,0.8438
attempted,0.4097
intentional,0.8208
model_intent_reliance_4cell,0.1147
model_intent_vs_outcome_contrast,-0.434

PROMPT-INVARIANCE of intent_vs_outcome_contrast (n_templates=7)
contrast_template_mean,-0.3327
contrast_template_sd,0.0805
contrast_template_min,-0.434
contrast_template_max,-0.1868
contrast_template_range,0.2472
  contrast[acceptable7],-0.3769
  contrast[human_verbatim],-0.434
  contrast[para_blame10],-0.1868
  contrast[para_blame4],-0.3266
  contrast[para_wrong7],-0.2696
  contrast[persona_adult7],-0.3154
  contrast[punish7],-0.4194
contrast_sign_stable_across_prompts,yes

vs adult
rmse,0.4118
profile_corr,0.3051
intent_reliance_4cell_diff,-0.7418
intent_vs_outcome_contrast_human,0.666
contrast_diff_model_minus_human,-1.1

vs child_4_5
rmse,0.1817
profile_corr,1.0
intent_vs_outcome_contrast_human,-0.14
contrast_diff_model_minus_human,-0.294

vs child_6_7
rmse,0.3291
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.15
contrast_diff_model_minus_human,-0.584

vs child_8plus
rmse,0.4925
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.46
contrast_diff_model_minus_human,-0.894
