story_id,prose,rater_a_either,human_either
YS2008-COFFEE-accidental,"My rating of 3 indicates that Grace's action was completely impermissible due to the severe consequences and the intentional deception involved, which resulted in her friend's death.",1,1
YS2008-BRIDGE-attempted,"Rating 2: While it was not completely impermissible for Ray to remain silent, his inaction could be seen as irresponsible given his concerns about the bridge's stability, especially since he had the opportunity to express his worries and potentially prevent potential danger.",1,1
YS2008-ASTHMA-neutral,"Rating 2: Erica's action is moderately impermissible because she failed to notice the empty asthma inhaler, which could have indicated a more serious health issue, and continued driving past the runner without offering assistance.",1,1
YS2008-VITAMIN-neutral,"A rating of 2 suggests that Gil's action was moderately permissible, as he took the time to research and believed the fruit was safe, but the safety of the action ultimately depended on accurate information about the fruit's contents.",1,1
YS2008-RIVER-intentional,"3 (Completely impermissible) because Jacob had prior knowledge of the dangers and failed to take action to prevent his friend from swimming in such a hazardous area, putting his friend's safety at risk.",1,1
YS2008-IGLOO-neutral,"My rating is 1 because Sarah has experience building igloos and believes the structure is safe, making it permissible for her friend to play inside.",1,1
YS2008-HAM-neutral,"The action is completely permissible (rating 1) because the ham was purchased just a day ago, is described as high quality and fresh, and there is no indication of any risk or concern about its safety.",1,0
YS2008-HAM-attempted,"Noel's action was moderately impermissible (rating 2) because she ignored clear evidence (the freshness of the ham and its recent purchase) and her own mother's shopping habits, which led her to an unfounded belief about the ham's safety.",1,1
YS2008-POPCORN-neutral,"2 - Matt's action was somewhat permissible as the situation was not dangerous, but it was still not ideal to go into the kitchen without being asked, especially since the cause of the smoke detector was already known.",0,0
YS2008-VET-neutral,"Zach's action is rated as 2, which is somewhat permissible but with some ethical concerns, because while the cookies were intended for sharing, there was no explicit permission given to take them, and Zach should have checked with his coworker first.",1,0
YS2008-SAFETY TOWN-intentional,3 - Sam's action was completely impermissible because he should have respected the parents' instructions and ensured the child's safety by not allowing him to enter an environment that could trigger an asthma attack and lead to a severe reaction.,0,0
