model,level,level_name,group,condition,mean
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:COFFEE,neutral,0.4081
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:COFFEE,accidental,0.9861
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:COFFEE,attempted,0.2001
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:COFFEE,intentional,0.991
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LAB,neutral,0.001
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LAB,accidental,0.8802
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LAB,attempted,0.2201
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LAB,intentional,0.842
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:JELLYFISH,neutral,0.013250000000000001
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:JELLYFISH,accidental,0.9065
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:JELLYFISH,attempted,0.2804
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:JELLYFISH,intentional,0.842
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BRIDGE,neutral,0.0268
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BRIDGE,accidental,0.6612
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BRIDGE,attempted,0.1951
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BRIDGE,intentional,0.7727
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:POOL,neutral,0.0461
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:POOL,accidental,0.6044
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:POOL,attempted,0.4527
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:POOL,intentional,0.5579
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MUSHROOMS,neutral,0.0314
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MUSHROOMS,accidental,0.7033
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MUSHROOMS,attempted,0.6453
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MUSHROOMS,intentional,0.7319
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LATEX,neutral,0.0039
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LATEX,accidental,0.781
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LATEX,attempted,0.5294
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LATEX,intentional,0.841
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MOTORBOAT,neutral,0.3372
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MOTORBOAT,accidental,0.4411
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MOTORBOAT,attempted,0.4161
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MOTORBOAT,intentional,0.347
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:ASTHMA,neutral,0.335
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:ASTHMA,accidental,0.4853
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:ASTHMA,attempted,0.4886
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:ASTHMA,intentional,0.3748
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:VITAMIN,neutral,0.0118
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:VITAMIN,accidental,0.8433
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:VITAMIN,attempted,0.3399
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:VITAMIN,intentional,0.8269
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SESAME,neutral,0.0972
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SESAME,accidental,0.8829
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SESAME,attempted,0.17320000000000002
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SESAME,intentional,0.93975
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BIKE,neutral,0.0353
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BIKE,accidental,0.6955
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BIKE,attempted,0.4408
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BIKE,intentional,0.6606
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:IRON,neutral,0.21605000000000002
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:IRON,accidental,0.54655
