layer,probe_name,cv_acc,cv_std,chance,n,degenerate
0,intent_noharm,0.5,0.0,0.5,144,True
1,intent_noharm,0.5676,0.115,0.5,144,False
2,intent_noharm,0.5343,0.0499,0.5,144,False
3,intent_noharm,0.5471,0.0765,0.5,144,False
4,intent_noharm,0.5833,0.0706,0.5,144,False
5,intent_noharm,0.591,0.0301,0.5,144,False
6,intent_noharm,0.6176,0.0631,0.5,144,False
7,intent_noharm,0.6438,0.0798,0.5,144,False
8,intent_noharm,0.6729,0.0402,0.5,144,False
9,intent_noharm,0.6538,0.0393,0.5,144,False
10,intent_noharm,0.7352,0.0854,0.5,144,False
11,intent_noharm,0.7419,0.0528,0.5,144,False
12,intent_noharm,0.7352,0.0561,0.5,144,False
13,intent_noharm,0.7629,0.0392,0.5,144,False
14,intent_noharm,0.8538,0.0269,0.5,144,False
15,intent_noharm,0.819,0.0575,0.5,144,False
16,intent_noharm,0.8467,0.0586,0.5,144,False
17,intent_noharm,0.8743,0.0498,0.5,144,False
18,intent_noharm,0.9024,0.0516,0.5,144,False
19,intent_noharm,0.8738,0.1028,0.5,144,False
20,intent_noharm,0.8667,0.0999,0.5,144,False
21,intent_noharm,0.839,0.1176,0.5,144,False
22,intent_noharm,0.8248,0.1145,0.5,144,False
23,intent_noharm,0.8176,0.0909,0.5,144,False
24,intent_noharm,0.791,0.0943,0.5,144,False
25,intent_noharm,0.8052,0.1053,0.5,144,False
26,intent_noharm,0.8276,0.0897,0.5,144,False
27,intent_noharm,0.7714,0.0809,0.5,144,False
28,intent_noharm,0.8195,0.097,0.5,144,False
0,intent_harm,0.5125,0.0153,0.5,154,False
1,intent_harm,0.5446,0.0316,0.5,154,False
2,intent_harm,0.5637,0.0521,0.5,154,False
3,intent_harm,0.59,0.0546,0.5,154,False
4,intent_harm,0.6029,0.0681,0.5,154,False
5,intent_harm,0.5579,0.0228,0.5,154,False
6,intent_harm,0.6229,0.0754,0.5,154,False
7,intent_harm,0.6308,0.0593,0.5,154,False
8,intent_harm,0.6092,0.0777,0.5,154,False
9,intent_harm,0.5842,0.0331,0.5,154,False
10,intent_harm,0.6425,0.043,0.5,154,False
11,intent_harm,0.6871,0.0417,0.5,154,False
12,intent_harm,0.6696,0.0497,0.5,154,False
13,intent_harm,0.6979,0.0991,0.5,154,False
14,intent_harm,0.7213,0.0393,0.5,154,False
15,intent_harm,0.7992,0.0644,0.5,154,False
16,intent_harm,0.8192,0.0572,0.5,154,False
17,intent_harm,0.8263,0.0752,0.5,154,False
18,intent_harm,0.8058,0.0379,0.5,154,False
19,intent_harm,0.755,0.0878,0.5,154,False
20,intent_harm,0.805,0.042,0.5,154,False
21,intent_harm,0.7975,0.0561,0.5,154,False
22,intent_harm,0.7846,0.0564,0.5,154,False
23,intent_harm,0.7021,0.0848,0.5,154,False
24,intent_harm,0.6954,0.0478,0.5,154,False
25,intent_harm,0.6808,0.0854,0.5,154,False
26,intent_harm,0.7013,0.0907,0.5,154,False
27,intent_harm,0.6483,0.065,0.5,154,False
28,intent_harm,0.6296,0.0333,0.5,154,False
0,outcome_innocent,0.5168,0.0149,0.5168,149,True
1,outcome_innocent,0.8395,0.0924,0.5168,149,False
2,outcome_innocent,0.88,0.0748,0.5168,149,False
3,outcome_innocent,0.9133,0.0718,0.5168,149,False
4,outcome_innocent,0.98,0.0267,0.5168,149,False
5,outcome_innocent,0.9798,0.0165,0.5168,149,False
6,outcome_innocent,0.98,0.0267,0.5168,149,False
7,outcome_innocent,0.98,0.0267,0.5168,149,False
8,outcome_innocent,0.9933,0.0133,0.5168,149,False
9,outcome_innocent,0.9933,0.0133,0.5168,149,False
10,outcome_innocent,0.9933,0.0133,0.5168,149,False
11,outcome_innocent,0.9933,0.0133,0.5168,149,False
12,outcome_innocent,0.9933,0.0133,0.5168,149,False
13,outcome_innocent,0.9933,0.0133,0.5168,149,False
14,outcome_innocent,0.9933,0.0133,0.5168,149,False
15,outcome_innocent,0.9933,0.0133,0.5168,149,False
16,outcome_innocent,1.0,0.0,0.5168,149,False
17,outcome_innocent,1.0,0.0,0.5168,149,False
18,outcome_innocent,1.0,0.0,0.5168,149,False
19,outcome_innocent,1.0,0.0,0.5168,149,False
20,outcome_innocent,1.0,0.0,0.5168,149,False
21,outcome_innocent,1.0,0.0,0.5168,149,False
