model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,2.7249,0.1376
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.0,1.0
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.9436,0.5282
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.0,1.0
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,2.9976,0.0012
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,1.2262,0.8869
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,2.2281,0.3859
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,1.1013,0.9494
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,2.0197,0.4901
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.0057,0.9971
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,2.3074,0.3463
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,1.0111,0.9945
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,2.985,0.0075
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,1.0367,0.9817
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,2.9797,0.0102
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,1.0949,0.9526
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,2.5545,0.2228
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,1.8613,0.5693
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,2.148,0.426
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,1.9852,0.5074
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,2.363,0.3185
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,1.0,1.0
