layer,target,cv_acc,chance
0,intent,0.7545977011494254,0.5
0,outcome,0.8694252873563219,0.5167785234899329
1,intent,0.7211494252873563,0.5
1,outcome,0.852183908045977,0.5167785234899329
2,intent,0.7149425287356322,0.5
2,outcome,0.8590804597701149,0.5167785234899329
3,intent,0.7382758620689656,0.5
3,outcome,0.8925287356321838,0.5167785234899329
4,intent,0.7450574712643678,0.5
4,outcome,0.8824137931034481,0.5167785234899329
5,intent,0.7382758620689656,0.5
5,outcome,0.8922988505747126,0.5167785234899329
6,intent,0.7449425287356322,0.5
6,outcome,0.8789655172413793,0.5167785234899329
7,intent,0.7782758620689656,0.5
7,outcome,0.8890804597701149,0.5167785234899329
8,intent,0.7614942528735632,0.5
8,outcome,0.899080459770115,0.5167785234899329
9,intent,0.7714942528735633,0.5
9,outcome,0.9259770114942529,0.5167785234899329
10,intent,0.7948275862068965,0.5
10,outcome,0.9528735632183908,0.5167785234899329
11,intent,0.7548275862068965,0.5
11,outcome,0.959655172413793,0.5167785234899329
12,intent,0.7850574712643679,0.5
12,outcome,0.9495402298850575,0.5167785234899329
13,intent,0.8051724137931036,0.5
13,outcome,0.953103448275862,0.5167785234899329
14,intent,0.8047126436781611,0.5
14,outcome,0.9596551724137932,0.5167785234899329
15,intent,0.83816091954023,0.5
15,outcome,0.9633333333333333,0.5167785234899329
16,intent,0.8379310344827587,0.5
16,outcome,0.9429885057471263,0.5167785234899329
17,intent,0.8550574712643678,0.5
17,outcome,0.9391954022988506,0.5167785234899329
18,intent,0.8418390804597701,0.5
18,outcome,0.9360919540229885,0.5167785234899329
19,intent,0.8419540229885059,0.5
19,outcome,0.9227586206896552,0.5167785234899329
20,intent,0.8049425287356321,0.5
20,outcome,0.9329885057471264,0.5167785234899329
21,intent,0.801609195402299,0.5
21,outcome,0.9127586206896552,0.5167785234899329
22,intent,0.7917241379310346,0.5
22,outcome,0.8991954022988505,0.5167785234899329
23,intent,0.7716091954022989,0.5
23,outcome,0.889080459770115,0.5167785234899329
24,intent,0.7647126436781609,0.5
24,outcome,0.8355172413793104,0.5167785234899329
25,intent,0.7711494252873564,0.5
25,outcome,0.8389655172413792,0.5167785234899329
26,intent,0.7544827586206897,0.5
26,outcome,0.8489655172413795,0.5167785234899329
27,intent,0.747816091954023,0.5
27,outcome,0.8489655172413793,0.5167785234899329
28,intent,0.7281609195402299,0.5
28,outcome,0.8554022988505746,0.5167785234899329
