direction,alpha,coherent,probe_layer,position,target,acc_unsteered,acc_steered,d_acc,margin_shift_sd,margin_sd_ratio,dcontrast
intent_dom,-0.3,True,15,upstream (cannot be affected),intent,0.6577,0.6577,0.0,0.0,1.0,-0.1356
intent_dom,-0.3,True,15,upstream (cannot be affected),outcome,0.9933,0.9933,0.0,0.0,1.0,-0.1356
intent_dom,-0.3,True,19,steering site,intent,0.8691,0.8691,0.0,0.0,1.0,-0.1356
intent_dom,-0.3,True,19,steering site,outcome,0.9866,0.9866,0.0,0.0,1.0,-0.1356
intent_dom,-0.3,True,23,downstream,intent,0.8993,0.5,-0.3993,-4.4576,0.7292,-0.1356
intent_dom,-0.3,True,23,downstream,outcome,0.9799,0.9631,-0.0168,-0.0147,0.6291,-0.1356
intent_dom,-0.3,True,28,final layer,intent,0.8658,0.5,-0.3658,-3.6975,0.9011,-0.1356
intent_dom,-0.3,True,28,final layer,outcome,0.9799,0.9262,-0.0537,0.0115,0.5613,-0.1356
intent_dom,-0.2,True,15,upstream (cannot be affected),intent,0.6577,0.6577,0.0,0.0,1.0,-0.0385
intent_dom,-0.2,True,15,upstream (cannot be affected),outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0385
intent_dom,-0.2,True,19,steering site,intent,0.8691,0.8691,0.0,0.0,1.0,-0.0385
intent_dom,-0.2,True,19,steering site,outcome,0.9866,0.9866,0.0,0.0,1.0,-0.0385
intent_dom,-0.2,True,23,downstream,intent,0.8993,0.5,-0.3993,-3.4848,0.7672,-0.0385
intent_dom,-0.2,True,23,downstream,outcome,0.9799,0.9597,-0.0201,-0.0691,0.8021,-0.0385
intent_dom,-0.2,True,28,final layer,intent,0.8658,0.5034,-0.3624,-2.9218,0.8007,-0.0385
intent_dom,-0.2,True,28,final layer,outcome,0.9799,0.9564,-0.0235,-0.0447,0.7824,-0.0385
intent_dom,-0.15,True,15,upstream (cannot be affected),intent,0.6577,0.6577,0.0,0.0,1.0,-0.0346
intent_dom,-0.15,True,15,upstream (cannot be affected),outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0346
intent_dom,-0.15,True,19,steering site,intent,0.8691,0.8691,0.0,0.0,1.0,-0.0346
intent_dom,-0.15,True,19,steering site,outcome,0.9866,0.9866,0.0,0.0,1.0,-0.0346
intent_dom,-0.15,True,23,downstream,intent,0.8993,0.5067,-0.3926,-2.7696,0.8289,-0.0346
intent_dom,-0.15,True,23,downstream,outcome,0.9799,0.9664,-0.0134,-0.083,0.8878,-0.0346
intent_dom,-0.15,True,28,final layer,intent,0.8658,0.5067,-0.3591,-2.3998,0.8131,-0.0346
intent_dom,-0.15,True,28,final layer,outcome,0.9799,0.9564,-0.0235,-0.0511,0.8841,-0.0346
intent_dom,-0.1,True,15,upstream (cannot be affected),intent,0.6577,0.6577,0.0,0.0,1.0,-0.04
intent_dom,-0.1,True,15,upstream (cannot be affected),outcome,0.9933,0.9933,0.0,0.0,1.0,-0.04
intent_dom,-0.1,True,19,steering site,intent,0.8691,0.8691,0.0,0.0,1.0,-0.04
intent_dom,-0.1,True,19,steering site,outcome,0.9866,0.9866,0.0,0.0,1.0,-0.04
intent_dom,-0.1,True,23,downstream,intent,0.8993,0.5101,-0.3893,-1.9148,0.9083,-0.04
intent_dom,-0.1,True,23,downstream,outcome,0.9799,0.9732,-0.0067,-0.0782,0.9568,-0.04
intent_dom,-0.1,True,28,final layer,intent,0.8658,0.5268,-0.3389,-1.7238,0.8715,-0.04
intent_dom,-0.1,True,28,final layer,outcome,0.9799,0.9664,-0.0134,-0.0447,0.9579,-0.04
intent_dom,-0.05,True,15,upstream (cannot be affected),intent,0.6577,0.6577,0.0,0.0,1.0,-0.0314
intent_dom,-0.05,True,15,upstream (cannot be affected),outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0314
intent_dom,-0.05,True,19,steering site,intent,0.8691,0.8691,0.0,0.0,1.0,-0.0314
intent_dom,-0.05,True,19,steering site,outcome,0.9866,0.9866,0.0,0.0,1.0,-0.0314
intent_dom,-0.05,True,23,downstream,intent,0.8993,0.6577,-0.2416,-0.9687,0.9733,-0.0314
intent_dom,-0.05,True,23,downstream,outcome,0.9799,0.9765,-0.0034,-0.0498,0.9961,-0.0314
intent_dom,-0.05,True,28,final layer,intent,0.8658,0.6376,-0.2282,-0.8997,0.9465,-0.0314
intent_dom,-0.05,True,28,final layer,outcome,0.9799,0.9732,-0.0067,-0.0267,0.9953,-0.0314
intent_dom,-0.025,True,15,upstream (cannot be affected),intent,0.6577,0.6577,0.0,0.0,1.0,-0.0184
intent_dom,-0.025,True,15,upstream (cannot be affected),outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0184
intent_dom,-0.025,True,19,steering site,intent,0.8691,0.8691,0.0,0.0,1.0,-0.0184
intent_dom,-0.025,True,19,steering site,outcome,0.9866,0.9866,0.0,0.0,1.0,-0.0184
intent_dom,-0.025,True,23,downstream,intent,0.8993,0.802,-0.0973,-0.4831,0.9923,-0.0184
intent_dom,-0.025,True,23,downstream,outcome,0.9799,0.9799,0.0,-0.0268,1.0023,-0.0184
intent_dom,-0.025,True,28,final layer,intent,0.8658,0.7752,-0.0906,-0.4531,0.9785,-0.0184
intent_dom,-0.025,True,28,final layer,outcome,0.9799,0.9765,-0.0034,-0.014,1.0014,-0.0184
intent_dom,0.025,True,15,upstream (cannot be affected),intent,0.6577,0.6577,0.0,0.0,1.0,0.0218
intent_dom,0.025,True,15,upstream (cannot be affected),outcome,0.9933,0.9933,0.0,0.0,1.0,0.0218
intent_dom,0.025,True,19,steering site,intent,0.8691,0.8691,0.0,0.0,1.0,0.0218
intent_dom,0.025,True,19,steering site,outcome,0.9866,0.9866,0.0,0.0,1.0,0.0218
intent_dom,0.025,True,23,downstream,intent,0.8993,0.8289,-0.0705,0.4739,0.9953,0.0218
intent_dom,0.025,True,23,downstream,outcome,0.9799,0.9832,0.0034,0.0286,0.9906,0.0218
intent_dom,0.025,True,28,final layer,intent,0.8658,0.8054,-0.0604,0.4492,1.0095,0.0218
intent_dom,0.025,True,28,final layer,outcome,0.9799,0.9765,-0.0034,0.0136,0.9921,0.0218
intent_dom,0.05,True,15,upstream (cannot be affected),intent,0.6577,0.6577,0.0,0.0,1.0,0.0491
intent_dom,0.05,True,15,upstream (cannot be affected),outcome,0.9933,0.9933,0.0,0.0,1.0,0.0491
intent_dom,0.05,True,19,steering site,intent,0.8691,0.8691,0.0,0.0,1.0,0.0491
intent_dom,0.05,True,19,steering site,outcome,0.9866,0.9866,0.0,0.0,1.0,0.0491
intent_dom,0.05,True,23,downstream,intent,0.8993,0.6544,-0.245,0.9329,0.9788,0.0491
