layer,target,cv_acc,chance,degenerate
0,intent,0.5211,0.5,False
0,outcome,0.5,0.5,False
1,intent,0.7056,0.5,False
1,outcome,0.5744,0.5,False
2,intent,0.6894,0.5,False
2,outcome,0.5917,0.5,False
3,intent,0.6467,0.5,False
3,outcome,0.625,0.5,False
4,intent,0.7028,0.5,False
4,outcome,0.6256,0.5,False
5,intent,0.8544,0.5,False
5,outcome,0.6628,0.5,False
6,intent,0.8544,0.5,False
6,outcome,0.7139,0.5,False
7,intent,0.86,0.5,False
7,outcome,0.7289,0.5,False
8,intent,0.9544,0.5,False
8,outcome,0.74,0.5,False
9,intent,0.9128,0.5,False
9,outcome,0.7606,0.5,False
10,intent,0.9483,0.5,False
10,outcome,0.7706,0.5,False
11,intent,0.965,0.5,False
11,outcome,0.8156,0.5,False
12,intent,0.9489,0.5,False
12,outcome,0.8428,0.5,False
13,intent,0.9544,0.5,False
13,outcome,0.8678,0.5,False
14,intent,0.9594,0.5,False
14,outcome,0.8472,0.5,False
15,intent,0.9694,0.5,False
15,outcome,0.8694,0.5,False
16,intent,0.965,0.5,False
16,outcome,0.8433,0.5,False
17,intent,0.9794,0.5,False
17,outcome,0.8917,0.5,False
18,intent,0.9794,0.5,False
18,outcome,0.8694,0.5,False
19,intent,0.9744,0.5,False
19,outcome,0.9067,0.5,False
20,intent,0.98,0.5,False
20,outcome,0.8761,0.5,False
21,intent,0.9583,0.5,False
21,outcome,0.875,0.5,False
22,intent,0.9583,0.5,False
22,outcome,0.8433,0.5,False
23,intent,0.9528,0.5,False
23,outcome,0.8433,0.5,False
24,intent,0.9472,0.5,False
24,outcome,0.8317,0.5,False
25,intent,0.9361,0.5,False
25,outcome,0.82,0.5,False
26,intent,0.9361,0.5,False
26,outcome,0.8422,0.5,False
27,intent,0.9206,0.5,False
27,outcome,0.7928,0.5,False
28,intent,0.8944,0.5,False
28,outcome,0.7394,0.5,False
