model,contrast,nearest_text_reported,below_youngest_text_reported,nearest_digitized_naughty,below_youngest_digitized_naughty,nearest_punish,below_youngest_punish,degenerate,methods_prespec_note
OLMo-2-1124-7B-Instruct,-0.646,child_4_5,yes,child_4_5,yes,child_4_5,yes,False,"METHODS PRE-SPEC (2026-07-10): methods_child_measure.md chose Naughty/wrongness, presented-first as primary — sixteen days before this comparison. human_reference.csv used naughty+punishable text inconsistent with that spec. Anchor decision must trace to that prior methods choice, not to 9/24 vs 24/24. Naughty + Punish ladders both remain as a permanent robustness table; do not choose the anchor here."
unsloth-gemma-2-9b-it,-0.408,child_4_5,yes,child_4_5,yes,child_4_5,yes,False,
Llama-3-1-Tulu-3-8B,-0.401,child_4_5,yes,child_4_5,yes,child_4_5,yes,False,
Qwen2.5-14B-Instruct,-0.370,child_4_5,yes,child_4_5,yes,child_4_5,yes,False,
Qwen2.5-3B-Instruct,-0.247,child_4_5,yes,child_4_5,yes,child_4_5,yes,False,
Qwen2.5-7B-Instruct,-0.238,child_4_5,yes,child_4_5,yes,child_4_5,yes,False,
unsloth-Meta-Llama-3-1-8B-Instruct,-0.202,child_4_5,yes,child_4_5,yes,child_4_5,yes,False,
Qwen2.5-1-5B-Instruct,-0.167,child_4_5,yes,child_4_5,yes,child_4_5,yes,False,
Qwen2.5-14B,-0.126,child_4_5,no,child_4_5,yes,child_4_5,yes,False,
Qwen2.5-7B,-0.051,child_4_5,no,child_4_5,yes,child_4_5,yes,False,
Qwen2.5-0-5B-Instruct,-0.050,child_4_5,no,child_4_5,yes,child_4_5,yes,False,
Qwen2.5-3B,-0.048,child_4_5,no,child_4_5,yes,child_4_5,yes,False,
Qwen2.5-1-5B,-0.013,child_4_5,no,child_4_5,yes,child_4_5,yes,False,
OLMo-2-1124-7B,-0.004,child_4_5,no,child_4_5,yes,child_4_5,yes,False,
unsloth-gemma-2-9b,-0.000,NA,no,NA,no,NA,no,True,
Mistral-7B-v0-3,+0.000,NA,no,NA,no,NA,no,True,
HuggingFaceH4-zephyr-7b-beta,+0.000,NA,no,NA,no,NA,no,True,
Mistral-7B-Instruct-v0-3,+0.000,NA,no,NA,no,NA,no,True,
Qwen2.5-0-5B,+0.000,child_4_5,no,child_4_5,yes,child_4_5,yes,False,
unsloth-Meta-Llama-3-1-8B,+0.003,child_4_5,no,child_4_5,yes,child_4_5,yes,False,
