layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.45,0.5,False
1,outcome,0.5725,0.5,False
2,intent,0.5725,0.5,False
2,outcome,0.5725,0.5,False
3,intent,0.6525,0.5,False
3,outcome,0.61,0.5,False
4,intent,0.6,0.5,False
4,outcome,0.6,0.5,False
5,intent,0.585,0.5,False
5,outcome,0.5625,0.5,False
6,intent,0.595,0.5,False
6,outcome,0.565,0.5,False
7,intent,0.5675,0.5,False
7,outcome,0.515,0.5,False
8,intent,0.7325,0.5,False
8,outcome,0.5375,0.5,False
9,intent,0.8125,0.5,False
9,outcome,0.635,0.5,False
10,intent,0.855,0.5,False
10,outcome,0.6025,0.5,False
11,intent,0.935,0.5,False
11,outcome,0.705,0.5,False
12,intent,0.945,0.5,False
12,outcome,0.675,0.5,False
13,intent,0.94,0.5,False
13,outcome,0.7075,0.5,False
14,intent,0.96,0.5,False
14,outcome,0.7325,0.5,False
15,intent,0.95,0.5,False
15,outcome,0.7525,0.5,False
16,intent,0.94,0.5,False
16,outcome,0.82,0.5,False
17,intent,0.905,0.5,False
17,outcome,0.765,0.5,False
18,intent,0.9275,0.5,False
18,outcome,0.7,0.5,False
19,intent,0.9175,0.5,False
19,outcome,0.705,0.5,False
20,intent,0.885,0.5,False
20,outcome,0.7075,0.5,False
21,intent,0.885,0.5,False
21,outcome,0.7375,0.5,False
22,intent,0.8525,0.5,False
22,outcome,0.6725,0.5,False
23,intent,0.8275,0.5,False
23,outcome,0.6925,0.5,False
24,intent,0.8175,0.5,False
24,outcome,0.68,0.5,False
25,intent,0.8075,0.5,False
25,outcome,0.69,0.5,False
26,intent,0.785,0.5,False
26,outcome,0.675,0.5,False
27,intent,0.805,0.5,False
27,outcome,0.6625,0.5,False
28,intent,0.835,0.5,False
28,outcome,0.705,0.5,False
