layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.505,0.5,False
1,outcome,0.5675,0.5,False
2,intent,0.585,0.5,False
2,outcome,0.535,0.5,False
3,intent,0.54,0.5,False
3,outcome,0.5725,0.5,False
4,intent,0.63,0.5,False
4,outcome,0.535,0.5,False
5,intent,0.6175,0.5,False
5,outcome,0.535,0.5,False
6,intent,0.76,0.5,False
6,outcome,0.59,0.5,False
7,intent,0.6425,0.5,False
7,outcome,0.5875,0.5,False
8,intent,0.64,0.5,False
8,outcome,0.5575,0.5,False
9,intent,0.6575,0.5,False
9,outcome,0.6275,0.5,False
10,intent,0.72,0.5,False
10,outcome,0.615,0.5,False
11,intent,0.76,0.5,False
11,outcome,0.63,0.5,False
12,intent,0.7175,0.5,False
12,outcome,0.66,0.5,False
13,intent,0.78,0.5,False
13,outcome,0.6325,0.5,False
14,intent,0.7725,0.5,False
14,outcome,0.6925,0.5,False
15,intent,0.8825,0.5,False
15,outcome,0.685,0.5,False
16,intent,0.89,0.5,False
16,outcome,0.7225,0.5,False
17,intent,0.87,0.5,False
17,outcome,0.725,0.5,False
18,intent,0.86,0.5,False
18,outcome,0.7375,0.5,False
19,intent,0.88,0.5,False
19,outcome,0.785,0.5,False
20,intent,0.825,0.5,False
20,outcome,0.745,0.5,False
21,intent,0.79,0.5,False
21,outcome,0.755,0.5,False
22,intent,0.7925,0.5,False
22,outcome,0.7125,0.5,False
23,intent,0.785,0.5,False
23,outcome,0.705,0.5,False
24,intent,0.7625,0.5,False
24,outcome,0.6425,0.5,False
25,intent,0.78,0.5,False
25,outcome,0.6425,0.5,False
26,intent,0.75,0.5,False
26,outcome,0.6325,0.5,False
27,intent,0.75,0.5,False
27,outcome,0.6575,0.5,False
28,intent,0.73,0.5,False
28,outcome,0.6225,0.5,False
