family,stage,stage_idx,model_id,n_items,contrast,b_intent,b_outcome,b_interaction,rating_std,degenerate
OLMo-2-7B,base,0,allenai/OLMo-2-1124-7B,2086,0.0017,0.0051,0.0034,-0.0043,0.0575,False
OLMo-2-7B,SFT,1,allenai/OLMo-2-1124-7B-SFT,2086,-0.5862,0.0961,0.6823,-0.1177,0.3513,False
OLMo-2-7B,DPO,2,allenai/OLMo-2-1124-7B-DPO,2086,-0.6518,0.1023,0.7541,-0.1233,0.3962,False
OLMo-2-7B,Instruct,3,allenai/OLMo-2-1124-7B-Instruct,2086,-0.6868,0.1226,0.8095,-0.139,0.412,False
Tulu-3-8B,base,0,unsloth/Meta-Llama-3.1-8B,2086,0.0074,0.0059,-0.0015,-0.0036,0.0966,False
Tulu-3-8B,SFT,1,allenai/Llama-3.1-Tulu-3-8B-SFT,2086,-0.2577,0.13,0.3877,-0.1374,0.206,False
Tulu-3-8B,DPO,2,allenai/Llama-3.1-Tulu-3-8B-DPO,2086,-0.3947,0.1693,0.564,-0.1881,0.289,False
Tulu-3-8B,RLVR,3,allenai/Llama-3.1-Tulu-3-8B,2086,-0.3977,0.1666,0.5643,-0.1806,0.2894,False
Zephyr-7B,base,0,mistralai/Mistral-7B-v0.1,2086,-0.0009,0.0023,0.0032,-0.0017,0.0285,False
Zephyr-7B,SFT,1,alignment-handbook/zephyr-7b-sft-full,2086,-0.1496,0.0224,0.172,-0.0187,0.1679,False
Zephyr-7B,DPO,2,HuggingFaceH4/zephyr-7b-beta,2086,-0.5516,0.0826,0.6342,-0.0801,0.3878,False
