template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.1938,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.1863,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.2337,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.177,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.3552,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.258,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.2296,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.2442,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.2565,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.2508,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.2993,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.1527,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.3181,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.2513,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.3317,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.1707,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.2432,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.3481,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.2593,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.2884,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.2442,1
