model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,2.3879,0.694
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.2031,0.6015
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.2046,0.6023
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,2.1902,0.5951
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,2.4678,0.7339
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,2.2095,0.6048
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,2.2927,0.6464
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,2.1363,0.5681
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,2.4333,0.7167
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,1.9545,0.4772
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,2.1953,0.5977
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,1.929,0.4645
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,2.4535,0.7268
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,2.2031,0.6015
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,2.2822,0.6411
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,2.1902,0.5951
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,2.2383,0.6192
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,2.0274,0.5137
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,2.1063,0.5532
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,2.0765,0.5383
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,2.4166,0.7083
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,2.1063,0.5532
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,2.2217,0.6109
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,2.141,0.5705
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,2.4577,0.7289
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,2.1093,0.5546
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,2.2759,0.638
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,2.1057,0.5528
Qwen/Qwen2.5-1.5B-Instruct,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,2.2115,0.6058
