model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.0,0.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,3.0,1.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.0,0.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,3.0,1.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.0,0.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,3.0,1.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,1.0,0.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,2.9999,0.9999
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.0,0.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,3.0,1.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,1.0017,0.0009
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,3.0,1.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,1.0001,0.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,3.0,1.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,1.0019,0.0009
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,3.0,1.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,1.0,0.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,3.0,1.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,2.5953,0.7977
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,3.0,1.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,1.0,0.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,3.0,1.0
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,1.0804,0.0402
HuggingFaceH4/zephyr-7b-beta,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,2.9997,0.9999
