layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,False
0,outcome,0.5168,0.5168,False
1,intent,0.5567,0.5,False
1,outcome,0.7893,0.5168,False
2,intent,0.5574,0.5,False
2,outcome,0.8698,0.5168,False
3,intent,0.5634,0.5,False
3,outcome,0.9267,0.5168,False
4,intent,0.6037,0.5,False
4,outcome,0.9533,0.5168,False
5,intent,0.6106,0.5,False
5,outcome,0.9731,0.5168,False
6,intent,0.6101,0.5,False
6,outcome,0.9729,0.5168,False
7,intent,0.6543,0.5,False
7,outcome,0.9831,0.5168,False
8,intent,0.661,0.5,False
8,outcome,0.9831,0.5168,False
9,intent,0.6713,0.5,False
9,outcome,0.9767,0.5168,False
10,intent,0.6806,0.5,False
10,outcome,0.98,0.5168,False
11,intent,0.7346,0.5,False
11,outcome,0.9867,0.5168,False
12,intent,0.7851,0.5,False
12,outcome,0.9867,0.5168,False
13,intent,0.8325,0.5,False
13,outcome,0.9867,0.5168,False
14,intent,0.8159,0.5,False
14,outcome,0.9867,0.5168,False
15,intent,0.8291,0.5,False
15,outcome,1.0,0.5168,False
16,intent,0.8492,0.5,False
16,outcome,1.0,0.5168,False
17,intent,0.8426,0.5,False
17,outcome,1.0,0.5168,False
18,intent,0.8192,0.5,False
18,outcome,1.0,0.5168,False
19,intent,0.8225,0.5,False
19,outcome,1.0,0.5168,False
20,intent,0.8125,0.5,False
20,outcome,1.0,0.5168,False
21,intent,0.779,0.5,False
21,outcome,1.0,0.5168,False
22,intent,0.8291,0.5,False
22,outcome,1.0,0.5168,False
23,intent,0.7889,0.5,False
23,outcome,1.0,0.5168,False
24,intent,0.7825,0.5,False
24,outcome,1.0,0.5168,False
25,intent,0.8092,0.5,False
25,outcome,1.0,0.5168,False
26,intent,0.789,0.5,False
26,outcome,1.0,0.5168,False
27,intent,0.7921,0.5,False
27,outcome,1.0,0.5168,False
28,intent,0.7855,0.5,False
28,outcome,1.0,0.5168,False
29,intent,0.779,0.5,False
29,outcome,1.0,0.5168,False
30,intent,0.7787,0.5,False
30,outcome,1.0,0.5168,False
31,intent,0.7318,0.5,False
31,outcome,1.0,0.5168,False
32,intent,0.7452,0.5,False
32,outcome,1.0,0.5168,False
