layer,target,cv_acc,chance,degenerate
0,intent,0.5211,0.5,False
0,outcome,0.5,0.5,False
1,intent,0.685,0.5,False
1,outcome,0.5578,0.5,False
2,intent,0.6478,0.5,False
2,outcome,0.5756,0.5,False
3,intent,0.6561,0.5,False
3,outcome,0.5756,0.5,False
4,intent,0.72,0.5,False
4,outcome,0.6178,0.5,False
5,intent,0.8906,0.5,False
5,outcome,0.6506,0.5,False
6,intent,0.8656,0.5,False
6,outcome,0.6867,0.5,False
7,intent,0.875,0.5,False
7,outcome,0.7111,0.5,False
8,intent,0.9483,0.5,False
8,outcome,0.6844,0.5,False
9,intent,0.9233,0.5,False
9,outcome,0.73,0.5,False
10,intent,0.9433,0.5,False
10,outcome,0.7933,0.5,False
11,intent,0.9639,0.5,False
11,outcome,0.8056,0.5,False
12,intent,0.9533,0.5,False
12,outcome,0.8306,0.5,False
13,intent,0.9533,0.5,False
13,outcome,0.8533,0.5,False
14,intent,0.9539,0.5,False
14,outcome,0.8406,0.5,False
15,intent,0.9744,0.5,False
15,outcome,0.8628,0.5,False
16,intent,0.9744,0.5,False
16,outcome,0.7983,0.5,False
17,intent,0.9744,0.5,False
17,outcome,0.8867,0.5,False
18,intent,0.9689,0.5,False
18,outcome,0.8733,0.5,False
19,intent,0.9744,0.5,False
19,outcome,0.8528,0.5,False
20,intent,0.98,0.5,False
20,outcome,0.8472,0.5,False
21,intent,0.9694,0.5,False
21,outcome,0.8517,0.5,False
22,intent,0.9639,0.5,False
22,outcome,0.7944,0.5,False
23,intent,0.9528,0.5,False
23,outcome,0.7828,0.5,False
24,intent,0.9578,0.5,False
24,outcome,0.7611,0.5,False
25,intent,0.9417,0.5,False
25,outcome,0.7778,0.5,False
26,intent,0.9367,0.5,False
26,outcome,0.7772,0.5,False
27,intent,0.9267,0.5,False
27,outcome,0.7944,0.5,False
28,intent,0.9111,0.5,False
28,outcome,0.7333,0.5,False
