layer,target,cv_acc,chance,degenerate
0,intent,0.5639,0.5,False
0,outcome,0.8195,0.5168,False
1,intent,0.5803,0.5,False
1,outcome,0.7757,0.5168,False
2,intent,0.5533,0.5,False
2,outcome,0.7555,0.5168,False
3,intent,0.564,0.5,False
3,outcome,0.7687,0.5168,False
4,intent,0.6278,0.5,False
4,outcome,0.8121,0.5168,False
5,intent,0.6241,0.5,False
5,outcome,0.8386,0.5168,False
6,intent,0.6178,0.5,False
6,outcome,0.8487,0.5168,False
7,intent,0.6245,0.5,False
7,outcome,0.8792,0.5168,False
8,intent,0.6274,0.5,False
8,outcome,0.8863,0.5168,False
9,intent,0.6308,0.5,False
9,outcome,0.869,0.5168,False
10,intent,0.6476,0.5,False
10,outcome,0.8826,0.5168,False
11,intent,0.6248,0.5,False
11,outcome,0.8523,0.5168,False
12,intent,0.6751,0.5,False
12,outcome,0.9064,0.5168,False
13,intent,0.6611,0.5,False
13,outcome,0.9432,0.5168,False
14,intent,0.6749,0.5,False
14,outcome,0.9267,0.5168,False
15,intent,0.7689,0.5,False
15,outcome,0.95,0.5168,False
16,intent,0.8055,0.5,False
16,outcome,0.9633,0.5168,False
17,intent,0.8154,0.5,False
17,outcome,0.9433,0.5168,False
18,intent,0.8225,0.5,False
18,outcome,0.9733,0.5168,False
19,intent,0.8123,0.5,False
19,outcome,0.9633,0.5168,False
20,intent,0.7584,0.5,False
20,outcome,0.9233,0.5168,False
21,intent,0.782,0.5,False
21,outcome,0.9132,0.5168,False
22,intent,0.7148,0.5,False
22,outcome,0.8795,0.5168,False
23,intent,0.7216,0.5,False
23,outcome,0.8466,0.5168,False
24,intent,0.6846,0.5,False
24,outcome,0.823,0.5168,False
25,intent,0.6745,0.5,False
25,outcome,0.7995,0.5168,False
26,intent,0.6879,0.5,False
26,outcome,0.8064,0.5168,False
27,intent,0.6713,0.5,False
27,outcome,0.8029,0.5168,False
28,intent,0.6444,0.5,False
28,outcome,0.7725,0.5168,False
