layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.5761,0.5,False
1,outcome,0.5467,0.5,False
2,intent,0.5478,0.5,False
2,outcome,0.5589,0.5,False
3,intent,0.5911,0.5,False
3,outcome,0.5728,0.5,False
4,intent,0.5594,0.5,False
4,outcome,0.575,0.5,False
5,intent,0.5767,0.5,False
5,outcome,0.5744,0.5,False
6,intent,0.6183,0.5,False
6,outcome,0.655,0.5,False
7,intent,0.5956,0.5,False
7,outcome,0.6233,0.5,False
8,intent,0.5839,0.5,False
8,outcome,0.5756,0.5,False
9,intent,0.5883,0.5,False
9,outcome,0.5872,0.5,False
10,intent,0.6689,0.5,False
10,outcome,0.5856,0.5,False
11,intent,0.69,0.5,False
11,outcome,0.6117,0.5,False
12,intent,0.6656,0.5,False
12,outcome,0.6567,0.5,False
13,intent,0.67,0.5,False
13,outcome,0.6272,0.5,False
14,intent,0.6978,0.5,False
14,outcome,0.6117,0.5,False
15,intent,0.72,0.5,False
15,outcome,0.6794,0.5,False
16,intent,0.7244,0.5,False
16,outcome,0.6989,0.5,False
17,intent,0.775,0.5,False
17,outcome,0.7017,0.5,False
18,intent,0.7272,0.5,False
18,outcome,0.6972,0.5,False
19,intent,0.7483,0.5,False
19,outcome,0.7306,0.5,False
20,intent,0.6633,0.5,False
20,outcome,0.7083,0.5,False
21,intent,0.725,0.5,False
21,outcome,0.7278,0.5,False
22,intent,0.7022,0.5,False
22,outcome,0.7111,0.5,False
23,intent,0.7394,0.5,False
23,outcome,0.68,0.5,False
24,intent,0.7117,0.5,False
24,outcome,0.7028,0.5,False
25,intent,0.7183,0.5,False
25,outcome,0.7356,0.5,False
26,intent,0.7333,0.5,False
26,outcome,0.715,0.5,False
27,intent,0.7278,0.5,False
27,outcome,0.7033,0.5,False
28,intent,0.7328,0.5,False
28,outcome,0.6656,0.5,False
