model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.4325,0.2162
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.4325,0.2162
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.4812,0.2406
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.4663,0.2332
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.5067,0.2534
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,1.4905,0.2453
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,1.55,0.275
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,1.5361,0.2681
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.4564,0.2282
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,1.5409,0.2704
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,1.55,0.275
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,1.5601,0.2801
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,1.5067,0.2534
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,1.5328,0.2664
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,1.5252,0.2626
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,1.5155,0.2577
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,1.499,0.2495
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,1.499,0.2495
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,1.4755,0.2377
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,1.5255,0.2628
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,1.5082,0.2541
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,1.6091,0.3045
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,1.5591,0.2796
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,1.5155,0.2577
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,1.3893,0.1947
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,1.5841,0.2921
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,1.5601,0.2801
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,1.6344,0.3172
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,1.55,0.275
Qwen/Qwen2.5-14B,human_verbatim,0,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,1.5409,0.2704
