model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.3703,0.1852
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.4197,0.2098
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.3452,0.1726
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.4068,0.2034
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,1.4537,0.2268
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,1.4043,0.2021
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,1.4698,0.2349
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,1.4559,0.2279
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,1.5713,0.2857
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.5803,0.2902
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,1.5794,0.2897
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,1.5654,0.2827
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,1.381,0.1905
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,1.5617,0.2809
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,1.4323,0.2162
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,1.6401,0.3201
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,1.6132,0.3066
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,1.5734,0.2867
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,1.6304,0.3152
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,1.6029,0.3015
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,1.3936,0.1968
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,1.3332,0.1666
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,1.4745,0.2373
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,1.3345,0.1673
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,1.6761,0.3381
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,1.6609,0.3305
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,1.6201,0.31
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,1.6804,0.3402
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,1.5842,0.2921
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,1.6934,0.3467
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,1.6603,0.3301
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,1.7168,0.3584
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,1.5209,0.2605
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,1.5469,0.2735
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,1.6336,0.3168
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,1.6084,0.3042
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,1.4579,0.2289
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,1.4868,0.2434
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,1.4316,0.2158
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,1.5477,0.2738
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,1.6727,0.3364
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,1.722,0.361
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,1.6373,0.3187
