model,pooling,target,acc_layer0,acc_peak,peak_layer,n_layers,peak_layer_frac,chance,layer0_frac_of_peak,layer0_above_chance,layer0_degenerate,inference_valid,inference_note
OLMo-2-1124-7B-Instruct,last,intent,0.5,0.8495,16,33,0.5,0.5,0.589,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B-Instruct,last,outcome,0.5168,1.0,17,33,0.531,0.5168,0.517,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B-Instruct,mean,intent,0.55,0.8694,15,33,0.469,0.5,0.633,0.05,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B-Instruct,mean,outcome,0.7892,0.9967,15,33,0.469,0.5168,0.792,0.2724,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B,last,intent,0.5,0.8492,16,33,0.5,0.5,0.589,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B,last,outcome,0.5168,1.0,15,33,0.469,0.5168,0.517,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B,mean,intent,0.55,0.8663,15,33,0.469,0.5,0.635,0.05,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
OLMo-2-1124-7B,mean,outcome,0.7892,0.9733,13,33,0.406,0.5168,0.811,0.2724,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B-Instruct,last,intent,0.5,0.6951,21,25,0.875,0.5,0.719,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B-Instruct,last,outcome,0.5168,0.98,11,25,0.458,0.5168,0.527,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B-Instruct,mean,intent,0.5402,0.6606,14,25,0.583,0.5,0.818,0.0402,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B-Instruct,mean,outcome,0.7386,0.9466,12,25,0.5,0.5168,0.78,0.2218,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B,last,intent,0.5,0.6714,12,25,0.5,0.5,0.745,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B,last,outcome,0.5168,0.9933,15,25,0.625,0.5168,0.52,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B,mean,intent,0.574,0.6543,9,25,0.375,0.5,0.877,0.074,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-0.5B,mean,outcome,0.7386,0.9432,12,25,0.5,0.5168,0.783,0.2218,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B-Instruct,last,intent,0.5,0.7552,20,29,0.714,0.5,0.662,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B-Instruct,last,outcome,0.5168,1.0,17,29,0.607,0.5168,0.517,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B-Instruct,mean,intent,0.5768,0.7186,18,29,0.643,0.5,0.803,0.0768,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B-Instruct,mean,outcome,0.8018,0.9329,15,29,0.536,0.5168,0.859,0.285,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B,last,intent,0.5,0.7387,13,29,0.464,0.5,0.677,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B,last,outcome,0.5168,1.0,18,29,0.643,0.5168,0.517,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B,mean,intent,0.5801,0.7193,20,29,0.714,0.5,0.806,0.0801,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-1.5B,mean,outcome,0.8018,0.923,20,29,0.714,0.5168,0.869,0.285,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B-Instruct,last,intent,0.5,0.8795,19,29,0.679,0.5,0.569,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B-Instruct,last,outcome,0.5168,1.0,16,29,0.571,0.5168,0.517,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B-Instruct,mean,intent,0.5639,0.8459,18,29,0.643,0.5,0.667,0.0639,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B-Instruct,mean,outcome,0.8229,0.98,18,29,0.643,0.5168,0.84,0.3061,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B,last,intent,0.5,0.8828,19,29,0.679,0.5,0.566,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B,last,outcome,0.5168,1.0,16,29,0.571,0.5168,0.517,0.0,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B,mean,intent,0.5639,0.8225,18,29,0.643,0.5,0.686,0.0639,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
Qwen2.5-7B,mean,outcome,0.8195,0.9733,18,29,0.643,0.5168,0.842,0.3027,False,True,ok: L0 fitted; chance-at-L0 + rise = computed signal
