model,layer,hypothesis,obs_r,null_mean,empirical_p,n_perm
OLMo-2-1124-7B,18,intent,0.0519,-0.0054,0.001,1000
OLMo-2-1124-7B,18,outcome,0.019,-0.0053,0.001,1000
OLMo-2-1124-7B-Instruct,14,intent,0.0637,-0.0052,0.001,1000
OLMo-2-1124-7B-Instruct,14,outcome,0.022,-0.0062,0.001,1000
Qwen2.5-0.5B,15,intent,0.0009,-0.0054,1.0,1000
Qwen2.5-0.5B,15,outcome,0.0024,-0.0052,0.999,1000
Qwen2.5-0.5B-Instruct,15,intent,0.0017,-0.0053,1.0,1000
Qwen2.5-0.5B-Instruct,15,outcome,0.0013,-0.0058,1.0,1000
Qwen2.5-1.5B,25,intent,0.0053,-0.0055,0.72428,1000
Qwen2.5-1.5B,25,outcome,0.0083,-0.0047,0.001,1000
Qwen2.5-1.5B-Instruct,17,intent,0.0113,-0.0053,0.001,1000
Qwen2.5-1.5B-Instruct,17,outcome,0.0102,-0.0055,0.001,1000
Qwen2.5-7B,17,intent,0.0377,-0.0054,0.001,1000
Qwen2.5-7B,17,outcome,0.0089,-0.0052,0.001,1000
Qwen2.5-7B-Instruct,18,intent,0.0776,-0.0053,0.001,1000
Qwen2.5-7B-Instruct,18,outcome,0.0202,-0.0055,0.001,1000
